Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sean Kilpatrick,,1.4,1,0.1,0.1
Reggie Bullock,84.8,1.2,1,0.2,0.1
Kevin Ollie,84.5,1.4,0.9,0,-0.1
Ollie Mack,83.6,1.6,1,-0.1,NA
Byron Irvin,81.9,1.2,0.9,0,NA
Jordan Hamilton,80.7,1.6,0.8,0.3,0.1
Bobby Washington,80.6,1.5,0.7,0,NA
Steve Henson,79.8,1.2,1.1,0.2,0
Troy Daniels,79.3,1.3,1.1,0.2,0.2
Mel Peterson,78.0,1.3,1,0,-0.2
Mike Flynn,77.5,1.7,0.8,0.3,NA
