Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,NJN,NBA,SF,76,52,1694,8.3,17.3,0.482,0.1,0.3,0.231,8.2,17,0.486,2.8,3.6,0.778,2.2,4.4,6.6,3,1.4,0.8,3.8,5.5,19.5
1982-83,23,NJN,NBA,SF,79,75,2447,8.6,18,0.475,0.1,0.3,0.261,8.5,17.7,0.479,2.6,3.3,0.775,2.3,4.4,6.7,4.3,1.4,0.6,3.6,4.1,19.8
1983-84,24,NJN,NBA,SF,79,53,2103,8,16.2,0.492,0.1,0.4,0.136,7.9,15.8,0.5,4,5,0.786,2.1,4.5,6.6,3.5,1.6,0.6,3.6,4.4,19.9
1984-85,25,NJN,NBA,SF,42,7,860,9.5,19.3,0.491,0,0.3,0,9.5,18.9,0.5,3.6,4.4,0.817,2.9,3.7,6.7,2.4,1.7,0.4,2.7,4.6,22.5
1985-86,26,NJN,NBA,SF,73,69,1998,7.9,17.3,0.456,0.1,0.4,0.174,7.8,16.9,0.463,3,3.7,0.823,2.1,4.5,6.6,3.3,1,0.4,3.3,3.7,18.9
1986-87,27,NJN,NBA,SF,61,15,1291,6.8,16,0.426,0.4,0.9,0.406,6.4,15.1,0.427,2.3,2.8,0.81,2.3,3.7,6,2.9,0.9,0.8,2.9,4.9,16.2
1987-88,28,PHI,NBA,SF,72,44,1593,4.8,12.2,0.391,0.4,1.1,0.347,4.4,11.1,0.395,1.8,2.3,0.757,1.6,3.3,4.9,2.5,0.9,0.4,2.1,4.9,11.7
1988-89,29,SAS,NBA,SF,46,11,791,6.4,14.9,0.431,0.4,1.5,0.25,6.1,13.4,0.451,1.7,2.2,0.771,1.5,4.9,6.4,3.6,1.2,0.3,3.4,4.4,14.9
1991-92,32,WSB,NBA,SF,6,0,59,6.7,18.3,0.367,1.2,4.3,0.286,5.5,14,0.391,4.3,4.9,0.875,0.6,6.1,6.7,3.1,1.8,0,1.2,4.3,18.9
Career,NA,,NBA,,534,326,12836,7.6,16.5,0.461,0.2,0.6,0.268,7.4,15.9,0.468,2.8,3.5,0.791,2.1,4.2,6.3,3.3,1.3,0.5,3.2,4.5,18.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,NJN,NBA,,410,271,10393,8.1,17.2,0.471,0.1,0.4,0.24,8,16.8,0.477,3,3.8,0.795,2.3,4.3,6.6,3.4,1.3,0.6,3.4,4.5,19.4
1 season,NA,PHI,NBA,,72,44,1593,4.8,12.2,0.391,0.4,1.1,0.347,4.4,11.1,0.395,1.8,2.3,0.757,1.6,3.3,4.9,2.5,0.9,0.4,2.1,4.9,11.7
1 season,NA,SAS,NBA,,46,11,791,6.4,14.9,0.431,0.4,1.5,0.25,6.1,13.4,0.451,1.7,2.2,0.771,1.5,4.9,6.4,3.6,1.2,0.3,3.4,4.4,14.9
1 season,NA,WSB,NBA,,6,0,59,6.7,18.3,0.367,1.2,4.3,0.286,5.5,14,0.391,4.3,4.9,0.875,0.6,6.1,6.7,3.1,1.8,0,1.2,4.3,18.9
