Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,24,TOT,BAA,PG,49,NA,NA,NA,NA,0.345,NA,NA,0.723,NA,NA,NA,NA
1948-49,24,FTW,BAA,PG,14,NA,NA,NA,NA,0.361,NA,NA,0.758,NA,NA,NA,NA
1948-49,24,INJ,BAA,PG,35,NA,NA,NA,NA,0.342,NA,NA,0.717,NA,NA,NA,NA
1949-50,25,TOT,NBA,PG,58,NA,NA,NA,NA,0.269,NA,NA,0.718,NA,NA,NA,NA
1949-50,25,AND,NBA,PG,26,NA,NA,NA,NA,0.248,NA,NA,0.687,NA,NA,NA,NA
1949-50,25,TRI,NBA,PG,32,NA,NA,NA,NA,0.28,NA,NA,0.737,NA,NA,NA,NA
1951-52,27,MLH,NBA,PG,11,NA,396,2.5,9.2,0.277,5,7.1,0.705,4,2.5,4.3,10.1
Career,NA,,TOT,,118,NA,396,2.5,9.2,0.305,5,7.1,0.718,4,2.5,4.3,10.1
,NA,,NBA,,69,NA,396,2.5,9.2,0.271,5,7.1,0.714,4,2.5,4.3,10.1
,NA,,BAA,,49,NA,NA,NA,NA,0.345,NA,NA,0.723,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"TRI,MLH",NBA,,43,NA,396,2.5,9.2,0.279,5,7.1,0.725,4,2.5,4.3,10.1
1 season,NA,INJ,BAA,,35,NA,NA,NA,NA,0.342,NA,NA,0.717,NA,NA,NA,NA
1 season,NA,AND,NBA,,26,NA,NA,NA,NA,0.248,NA,NA,0.687,NA,NA,NA,NA
1 season,NA,FTW,BAA,,14,NA,NA,NA,NA,0.361,NA,NA,0.758,NA,NA,NA,NA
