Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,23,PHO,NBA,PG,64,6,792,6,14,0.425,0.3,1.1,0.24,5.7,12.9,0.442,3.2,5.4,0.602,0.9,2.3,3.2,8.7,0.9,0.3,3.5,3.8,15.4
1991-92,24,PHO,NBA,PG,42,1,631,5.9,12.4,0.475,0.2,0.7,0.308,5.6,11.6,0.485,1.9,2.7,0.688,0.9,1.7,2.6,6.4,1.4,0.2,3.3,3.3,13.9
1992-93,25,PHO,NBA,PG,52,35,888,5,12.9,0.391,0,0.3,0,5,12.6,0.4,2.7,3.5,0.779,1.1,1.5,2.6,5.9,0.9,0.2,3,2.7,12.8
1993-94,26,TOT,NBA,PG,65,18,1438,5.6,11.9,0.474,0.1,0.5,0.19,5.5,11.4,0.487,3.5,4.4,0.81,0.7,1.9,2.6,4.9,0.9,0.3,2.4,3,14.9
1993-94,26,PHO,NBA,PG,1,0,8,4.5,18,0.25,0,0,NA,4.5,18,0.25,0,0,NA,0,0,0,0,0,4.5,0,4.5,9
1993-94,26,SAS,NBA,PG,64,18,1430,5.6,11.9,0.476,0.1,0.5,0.19,5.5,11.3,0.489,3.5,4.4,0.81,0.7,1.9,2.6,5,0.9,0.3,2.4,3,14.9
1994-95,27,TOT,NBA,PG,47,17,708,4.3,10.9,0.397,0.6,1.4,0.393,3.8,9.5,0.398,0.9,1.3,0.72,1.1,2,3.1,6.5,1.1,0.3,2.5,3.6,10.1
1994-95,27,POR,NBA,PG,3,0,43,5.9,12.6,0.467,0,0,NA,5.9,12.6,0.467,3.3,3.3,1,0.8,1.7,2.5,9.2,0.8,0,3.3,4.2,15.1
1994-95,27,DET,NBA,PG,44,17,665,4.2,10.8,0.392,0.6,1.5,0.393,3.6,9.3,0.392,0.8,1.1,0.667,1.1,2.1,3.1,6.3,1.1,0.3,2.4,3.5,9.8
1998-99,31,TOR,NBA,PG,6,0,56,1.9,5.1,0.375,0,0.6,0,1.9,4.5,0.429,1.3,2.6,0.5,0.6,3.2,3.9,5.1,0.6,0,4.5,3.2,5.1
Career,NA,,NBA,,276,77,4513,5.4,12.3,0.436,0.2,0.8,0.263,5.2,11.5,0.447,2.6,3.6,0.73,0.9,1.9,2.8,6.2,1,0.2,2.8,3.2,13.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHO,NBA,,159,42,2319,5.6,13.1,0.424,0.2,0.7,0.222,5.4,12.4,0.436,2.7,3.9,0.679,1,1.8,2.8,7,1,0.2,3.2,3.2,14
1 season,NA,SAS,NBA,,64,18,1430,5.6,11.9,0.476,0.1,0.5,0.19,5.5,11.3,0.489,3.5,4.4,0.81,0.7,1.9,2.6,5,0.9,0.3,2.4,3,14.9
1 season,NA,DET,NBA,,44,17,665,4.2,10.8,0.392,0.6,1.5,0.393,3.6,9.3,0.392,0.8,1.1,0.667,1.1,2.1,3.1,6.3,1.1,0.3,2.4,3.5,9.8
1 season,NA,TOR,NBA,,6,0,56,1.9,5.1,0.375,0,0.6,0,1.9,4.5,0.429,1.3,2.6,0.5,0.6,3.2,3.9,5.1,0.6,0,4.5,3.2,5.1
1 season,NA,POR,NBA,,3,0,43,5.9,12.6,0.467,0,0,NA,5.9,12.6,0.467,3.3,3.3,1,0.8,1.7,2.5,9.2,0.8,0,3.3,4.2,15.1
