Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1990-91,23,PHO,NBA,PG,64,6,792,7.9,18.5,0.425,0.4,1.5,0.24,7.5,17,0.442,4.3,7.1,0.602,1.2,3.1,4.3,11.5,1.2,0.4,4.6,5,20.3,NA,99,110
1991-92,24,PHO,NBA,PG,42,1,631,7.9,16.6,0.475,0.3,1,0.308,7.6,15.6,0.485,2.5,3.7,0.688,1.2,2.3,3.5,8.6,1.8,0.2,4.4,4.4,18.6,NA,99,110
1992-93,25,PHO,NBA,PG,52,35,888,6.7,17.2,0.391,0,0.4,0,6.7,16.8,0.4,3.6,4.7,0.779,1.5,1.9,3.5,7.9,1.2,0.2,4,3.6,17.1,NA,96,112
1993-94,26,TOT,NBA,PG,65,18,1438,8.3,17.6,0.474,0.1,0.8,0.19,8.2,16.8,0.487,5.2,6.4,0.81,1,2.8,3.8,7.3,1.3,0.4,3.5,4.5,22,NA,110,109
1993-94,26,PHO,NBA,PG,1,0,8,6.2,24.8,0.25,0,0,NA,6.2,24.8,0.25,0,0,NA,0,0,0,0,0,6.2,0,6.2,12.4,NA,62,110
1993-94,26,SAS,NBA,PG,64,18,1430,8.3,17.5,0.476,0.1,0.8,0.19,8.2,16.8,0.489,5.3,6.5,0.81,1,2.8,3.8,7.3,1.3,0.4,3.5,4.5,22.1,NA,110,109
1994-95,27,TOT,NBA,PG,47,17,708,6.2,15.6,0.397,0.8,2,0.393,5.4,13.5,0.398,1.3,1.8,0.72,1.5,2.9,4.4,9.2,1.5,0.4,3.6,5.1,14.5,NA,96,116
1994-95,27,POR,NBA,PG,3,0,43,8.3,17.8,0.467,0,0,NA,8.3,17.8,0.467,4.8,4.8,1,1.2,2.4,3.6,13.1,1.2,0,4.8,5.9,21.4,NA,112,111
1994-95,27,DET,NBA,PG,44,17,665,6,15.4,0.392,0.9,2.2,0.393,5.2,13.2,0.392,1.1,1.6,0.667,1.5,2.9,4.5,9,1.5,0.4,3.5,5,14,NA,95,116
1998-99,31,TOR,NBA,PG,6,0,56,2.9,7.7,0.375,0,1,0,2.9,6.8,0.429,1.9,3.9,0.5,1,4.8,5.8,7.7,1,0,6.8,4.8,7.7,NA,68,109
Career,NA,,NBA,,276,77,4513,7.5,17.1,0.436,0.3,1.1,0.263,7.2,16,0.447,3.7,5.1,0.73,1.3,2.6,3.9,8.7,1.4,0.3,4,4.5,18.9,NA,101,111
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHO,NBA,,159,42,2319,7.4,17.5,0.424,0.2,0.9,0.222,7.2,16.6,0.436,3.5,5.2,0.679,1.3,2.4,3.7,9.3,1.4,0.3,4.3,4.3,18.6,NA,98,111
1 season,NA,SAS,NBA,,64,18,1430,8.3,17.5,0.476,0.1,0.8,0.19,8.2,16.8,0.489,5.3,6.5,0.81,1,2.8,3.8,7.3,1.3,0.4,3.5,4.5,22.1,NA,110,109
1 season,NA,DET,NBA,,44,17,665,6,15.4,0.392,0.9,2.2,0.393,5.2,13.2,0.392,1.1,1.6,0.667,1.5,2.9,4.5,9,1.5,0.4,3.5,5,14,NA,95,116
1 season,NA,TOR,NBA,,6,0,56,2.9,7.7,0.375,0,1,0,2.9,6.8,0.429,1.9,3.9,0.5,1,4.8,5.8,7.7,1,0,6.8,4.8,7.7,NA,68,109
1 season,NA,POR,NBA,,3,0,43,8.3,17.8,0.467,0,0,NA,8.3,17.8,0.467,4.8,4.8,1,1.2,2.4,3.6,13.1,1.2,0,4.8,5.9,21.4,NA,112,111
