Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1949-50,24,CHS,NBA,,65,NA,NA,0.367,0.265,NA,NA,NA,NA,NA,-0.4,2.8,2.4,NA
1950-51,25,TOT,NBA,,62,NA,NA,0.387,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,25,WSC,NBA,,35,NA,NA,0.383,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950-51,25,BOS,NBA,,27,NA,NA,0.395,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951-52,26,BLB,NBA,SF,65,1583,14.2,0.416,0.42,NA,NA,NA,NA,NA,0.8,0.9,1.7,0.052
1952-53,27,TOT,NBA,SG,36,567,8.9,0.363,0.352,NA,NA,NA,NA,NA,-0.7,0.3,-0.4,-0.036
1952-53,27,BLB,NBA,,16,227,11.8,0.396,0.429,NA,NA,NA,NA,NA,-0.1,0.1,0,-0.002
1952-53,27,PHW,NBA,SG,20,340,6.9,0.337,0.294,NA,NA,NA,NA,NA,-0.6,0.2,-0.4,-0.059
Career,NA,,NBA,,228,2150,12.8,0.389,0.316,NA,NA,NA,NA,NA,-0.3,4,3.7,0.029
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BLB,NBA,,81,1810,13.9,0.414,0.421,NA,NA,NA,NA,NA,0.7,1,1.7,0.045
1 season,NA,CHS,NBA,,65,NA,NA,0.367,0.265,NA,NA,NA,NA,NA,-0.4,2.8,2.4,NA
1 season,NA,WSC,NBA,,35,NA,NA,0.383,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,BOS,NBA,,27,NA,NA,0.395,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHW,NBA,,20,340,6.9,0.337,0.294,NA,NA,NA,NA,NA,-0.6,0.2,-0.4,-0.059
