Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Sam Lacey,,7.7,7.4,6.5,5.6,5.6,5,4.3,4,2.7,1.2,0.6,0.3,-0.1,NA
Andrew Bogut,91.3,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4,2.6,1.7,0.7,0.5,0.4,0.3
Mike Gminski,90.1,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5,0.5,0.5,0
Byron Beck,89.4,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,NA,NA,NA,NA
Red Rocha,89.2,7.8,7.2,7,6.5,5.1,5,4.6,3.6,1,NA,NA,NA,NA,NA
Darryl Dawkins,88.1,7.9,6.4,6.3,5.7,4.6,4.4,4,2.9,2.1,2.1,0.1,0.1,0,-0.2
Emeka Okafor,88.0,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1,NA,NA,NA,NA
Jim Chones,87.2,6.4,6.2,6,5.9,5.8,4.7,3.5,3.3,2.6,1.4,NA,NA,NA,NA
DeMarcus Cousins,86.4,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA,NA,NA,NA,NA
Samuel Dalembert,85.8,6.9,6.9,6.2,5.2,4.9,4.1,4,3.9,3.6,2.9,2.2,0.3,0.3,NA
Greg Monroe,85.8,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1,NA,NA,NA,NA,NA
