Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,DLC,ABA,C,7,NA,199,5.1,12.5,0.406,0,0,NA,5.1,12.5,0.406,2.7,3.3,0.833,NA,NA,11.4,1.4,NA,NA,2.7,4.5,12.8
1969-70,24,DLC,ABA,C,6,NA,237,7.3,14.9,0.49,0,0,NA,7.3,14.9,0.49,3.8,5.3,0.714,NA,NA,13.1,1.4,NA,NA,2.3,2.6,18.4
1970-71,25,NYA,ABA,C,6,NA,204,6.2,12.2,0.507,0,0,NA,6.2,12.2,0.507,1.1,2.1,0.5,2.1,6.2,8.3,0.5,NA,NA,1.8,2.8,13.4
1973-74,28,CAP,NBA,C,2,NA,5,7.2,14.4,0.5,NA,NA,NA,7.2,14.4,0.5,0,0,NA,7.2,7.2,14.4,0,0,0,NA,7.2,14.4
Career,NA,,TOT,,21,NA,645,6.3,13.3,0.471,0,0,NA,6.3,13.3,0.471,2.6,3.6,0.708,2.2,6.2,11.1,1.1,0,0,2.3,3.3,15.1
,NA,,ABA,,19,NA,640,6.2,13.3,0.47,0,0,NA,6.2,13.3,0.47,2.6,3.7,0.708,2.1,6.2,11,1.1,NA,NA,2.3,3.3,15.1
,NA,,NBA,,2,NA,5,7.2,14.4,0.5,NA,NA,NA,7.2,14.4,0.5,0,0,NA,7.2,7.2,14.4,0,0,0,NA,7.2,14.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,13,NA,436,6.3,13.8,0.455,0,0,NA,6.3,13.8,0.455,3.3,4.4,0.755,NA,NA,12.3,1.4,NA,NA,2.5,3.5,15.9
1 season,NA,NYA,ABA,,6,NA,204,6.2,12.2,0.507,0,0,NA,6.2,12.2,0.507,1.1,2.1,0.5,2.1,6.2,8.3,0.5,NA,NA,1.8,2.8,13.4
1 season,NA,CAP,NBA,,2,NA,5,7.2,14.4,0.5,NA,NA,NA,7.2,14.4,0.5,0,0,NA,7.2,7.2,14.4,0,0,0,NA,7.2,14.4
