Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1995-96,22,MIA,NBA,SG,30,323,15.9,0.55,0.716,0.305,4.4,14.1,9.4,16.9,1,0.2,12.6,25.7,NA,0.5,0.4,0.9,0.135,NA,3.2,-0.7,2.5,0.4
1996-97,23,MIA,NBA,SG,73,2111,14.7,0.614,0.646,0.154,2.2,9.9,6.1,13.5,1.3,0.7,13,18.7,NA,3.9,2.9,6.8,0.155,NA,2.2,0.5,2.7,2.6
1997-98,24,MIA,NBA,SG,81,2621,13.3,0.547,0.443,0.21,3.3,9.5,6.5,11.8,1.2,0.4,9.6,18.4,NA,4.5,2.5,7.1,0.129,NA,1.2,-0.3,0.9,1.9
1998-99,25,MIA,NBA,SG,12,190,12,0.489,0.443,0.139,2.7,7.1,5.1,10.3,0.9,0.4,7.7,23.6,NA,0.1,0.2,0.3,0.073,NA,-0.7,-2.9,-3.5,-0.1
1999-00,26,MIA,NBA,SG,53,1434,13.9,0.518,0.407,0.189,3.1,8.9,6.2,16.1,1.5,0.8,11.7,22.3,NA,1.5,1.5,3,0.1,NA,0.5,-0.4,0.1,0.8
2000-01,27,DEN,NBA,SG,80,2331,13.2,0.522,0.452,0.227,2.2,8.7,5.4,13.4,1.4,0.5,9.9,19.7,NA,2.9,0.6,3.5,0.072,NA,0.2,-1.1,-0.8,0.7
2001-02,28,DEN,NBA,SG,71,1665,14.5,0.495,0.312,0.156,2.5,10.4,6.3,14.3,1.9,1.1,10,24.5,NA,0.9,0.8,1.7,0.049,NA,0.9,-0.8,0.1,0.9
2002-03,29,TOR,NBA,SG,63,1929,14.4,0.502,0.311,0.24,2.7,10.1,6.3,13.6,1.6,0.8,10.3,23.6,NA,1.7,0.7,2.4,0.06,NA,0.3,-1.4,-1,0.5
2003-04,30,DEN,NBA,SG,73,2233,13.5,0.512,0.31,0.195,2.3,7.9,5.1,11.6,1.4,0.4,9.1,21.9,NA,2.8,1.2,4,0.086,NA,0,-1.4,-1.4,0.3
2004-05,31,DEN,NBA,SG,3,54,15.1,0.491,0.462,0.308,0,12.7,6.4,19,1,0,6.3,26,NA,0,0,0.1,0.082,NA,1.2,-0.8,0.4,0
2005-06,32,TOT,NBA,SG,26,458,10.9,0.467,0.408,0.162,1.3,10.8,6.1,15.6,2.4,0.7,13.2,23.7,NA,-0.5,0.3,-0.1,-0.013,NA,-1.9,-0.3,-2.2,0
2005-06,32,DEN,NBA,SG,12,238,10.1,0.455,0.34,0.126,1,12.6,6.9,12.7,1.7,0.6,9.2,22.5,NA,-0.2,0.2,0,0.005,NA,-2.1,0.3,-1.8,0
2005-06,32,POR,NBA,SG,14,220,11.8,0.48,0.489,0.205,1.6,8.9,5.2,18.8,3.2,0.7,17.3,25,NA,-0.3,0.1,-0.1,-0.031,NA,-1.7,-0.9,-2.7,0
Career,NA,,NBA,,565,15349,13.8,0.526,0.414,0.199,2.6,9.4,6,13.4,1.5,0.6,10.5,21.2,NA,18.6,11,29.6,0.093,NA,0.7,-0.7,0,7.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIA,NBA,,249,6679,14,0.558,0.511,0.192,3,9.7,6.4,13.5,1.3,0.6,11.2,19.8,NA,10.6,7.4,18.1,0.13,NA,1.4,-0.1,1.3,5.5
5 seasons,NA,DEN,NBA,,239,6521,13.5,0.508,0.358,0.192,2.2,9,5.6,13,1.5,0.6,9.6,21.9,NA,6.5,2.8,9.3,0.069,NA,0.2,-1.1,-0.8,1.9
1 season,NA,TOR,NBA,,63,1929,14.4,0.502,0.311,0.24,2.7,10.1,6.3,13.6,1.6,0.8,10.3,23.6,NA,1.7,0.7,2.4,0.06,NA,0.3,-1.4,-1,0.5
1 season,NA,POR,NBA,,14,220,11.8,0.48,0.489,0.205,1.6,8.9,5.2,18.8,3.2,0.7,17.3,25,NA,-0.3,0.1,-0.1,-0.031,NA,-1.7,-0.9,-2.7,0
