,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2011-12,22,MIL,NBA,PF,46,555,,,,82%,18%,+1.1,+1.1,11,4,35,2,15,6,57,6,13
2012-13,23,TOT,NBA,PF-C,28,187,,,,67%,33%,-18.0,-18.1,3,0,9,2,5,0,19,1,1
2012-13,23,CLE,NBA,C,9,91,,,,51%,49%,-26.4,-21.7,2,0,6,1,2,0,10,0,1
2012-13,23,MEM,NBA,PF,19,96,,,,82%,18%,-9.6,-14.7,1,0,3,1,3,0,9,1,0
2013-14,24,MEM,NBA,PF,49,642,,,1%,96%,3%,-1.8,-4.6,12,8,33,3,22,1,44,3,20
2014-15,25,MEM,NBA,PF,63,824,,,1%,98%,2%,-0.5,-4.9,23,7,47,1,26,2,101,3,15
2015-16,26,PHO,NBA,PF,67,1255,,,,58%,42%,-3.2,+6.0,36,29,75,5,49,3,172,13,30
2016-17,27,DET,NBA,PF,75,1944,,,,94%,6%,-1.7,-0.3,38,21,97,2,50,4,247,15,41
2017-18,28,DET,NBA,PF,8,136,,,,67%,33%,+1.8,+2.0,2,2,8,2,8,0,10,3,3
2018-19,29,DET,NBA,PF,41,402,,,,71%,29%,-13.7,-14.9,5,6,34,9,16,5,32,7,7
Career,,,NBA,,377,5945,,,,83%,17%,-2.8,-1.4,130,77,338,26,191,21,682,51,130
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MEM,NBA,,131,1562,,,1%,96%,3%,-1.6,-5.4,36,15,83,5,51,3,154,7,35
3 seasons,,DET,NBA,,124,2482,,,,89%,11%,-3.4,-2.6,45,29,139,13,74,9,289,25,51
1 season,,PHO,NBA,,67,1255,,,,58%,42%,-3.2,+6.0,36,29,75,5,49,3,172,13,30
1 season,,MIL,NBA,,46,555,,,,82%,18%,+1.1,+1.1,11,4,35,2,15,6,57,6,13
1 season,,CLE,NBA,,9,91,,,,51%,49%,-26.4,-21.7,2,0,6,1,2,0,10,0,1
