Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,23,DEN,NBA,SG,79,4,1326,6.8,14,0.486,0,0.4,0,6.8,13.6,0.5,3.5,4.7,0.747,1.3,2.8,4.1,3.1,1.5,0.4,2.6,3.9,17.1
1990-91,24,DEN,NBA,SG,29,25,860,6.9,15.8,0.439,0.6,2,0.298,6.4,13.9,0.459,2.5,2.9,0.855,2.1,2.6,4.7,3,1.9,0.3,1.4,2.7,17
1991-92,25,DEN,NBA,SG,68,10,1176,5.3,11.5,0.46,0,0.3,0.111,5.3,11.2,0.469,3,3.6,0.839,1.1,2.5,3.6,2.3,1.3,0.4,2.2,4,13.7
1992-93,26,DEN,NBA,SG,48,12,752,5.9,13.2,0.449,0.1,0.3,0.333,5.8,12.9,0.452,3.9,4.9,0.794,1.7,3.2,4.9,2.5,1.3,0.5,2.3,2.9,15.8
1993-94,27,TOT,NBA,SG,13,0,126,5.7,14.6,0.392,0.6,0.6,1,5.1,14,0.367,4.6,7.1,0.64,2.3,4,6.3,3.1,2,0.3,1.4,4.6,16.6
1993-94,27,ORL,NBA,SG,4,0,20,7.2,16.2,0.444,0,0,NA,7.2,16.2,0.444,0,0,NA,5.4,1.8,7.2,3.6,3.6,0,3.6,5.4,14.4
1993-94,27,GSW,NBA,SG,5,0,58,6.2,17.4,0.357,1.2,1.2,1,5,16.1,0.308,5.6,6.8,0.818,1.9,4.3,6.2,1.9,0,0,0,5.6,19.2
1993-94,27,BOS,NBA,SG,4,0,48,4.5,10.5,0.429,0,0,NA,4.5,10.5,0.429,5.2,10.5,0.5,1.5,4.5,6,4.5,3.7,0.7,2.3,3,14.2
Career,NA,,NBA,,237,51,4240,6.2,13.5,0.46,0.2,0.7,0.244,6.1,12.9,0.471,3.3,4.1,0.789,1.5,2.8,4.3,2.8,1.5,0.4,2.2,3.5,15.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DEN,NBA,,224,51,4114,6.2,13.5,0.462,0.1,0.7,0.224,6.1,12.8,0.474,3.2,4.1,0.797,1.5,2.7,4.2,2.7,1.5,0.4,2.2,3.5,15.9
1 season,NA,GSW,NBA,,5,0,58,6.2,17.4,0.357,1.2,1.2,1,5,16.1,0.308,5.6,6.8,0.818,1.9,4.3,6.2,1.9,0,0,0,5.6,19.2
1 season,NA,BOS,NBA,,4,0,48,4.5,10.5,0.429,0,0,NA,4.5,10.5,0.429,5.2,10.5,0.5,1.5,4.5,6,4.5,3.7,0.7,2.3,3,14.2
1 season,NA,ORL,NBA,,4,0,20,7.2,16.2,0.444,0,0,NA,7.2,16.2,0.444,0,0,NA,5.4,1.8,7.2,3.6,3.6,0,3.6,5.4,14.4
