Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,21,HOU,NBA,PG,64,0,981,100,229,0.437,9,22,0.409,91,207,0.44,0.456,42,65,0.646,32,62,94,155,39,12,102,107,251
1997-98,22,ATL,NBA,PG,12,0,82,3,12,0.25,0,0,NA,3,12,0.25,0.25,4,5,0.8,1,5,6,5,7,2,6,6,10
1998-99,23,PHO,NBA,PG,1,0,22,5,8,0.625,0,0,NA,5,8,0.625,0.625,2,2,1,0,2,2,3,2,0,1,1,12
1999-00,24,PHO,NBA,PG,79,15,1081,155,373,0.416,19,55,0.345,136,318,0.428,0.441,52,62,0.839,25,105,130,170,49,13,92,129,381
2000-01,25,GSW,NBA,PG,2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,1,1,1,0,0,0,0,0
2001-02,26,SEA,NBA,PG,13,0,176,15,54,0.278,1,8,0.125,14,46,0.304,0.287,10,11,0.909,9,16,25,26,9,2,2,11,41
2002-03,27,NOH,NBA,PG,2,0,12,2,4,0.5,0,0,NA,2,4,0.5,0.5,2,2,1,0,0,0,1,0,0,0,0,6
2003-04,28,LAC,NBA,PG,4,0,48,2,10,0.2,0,3,0,2,7,0.286,0.2,4,6,0.667,2,5,7,4,2,0,4,7,8
2004-05,29,UTA,NBA,PG,17,4,227,22,52,0.423,5,8,0.625,17,44,0.386,0.471,15,17,0.882,3,9,12,45,12,2,14,28,64
2005-06,30,CHI,NBA,PG,5,0,22,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,3,4,1,1,0,1,6,0
2006-07,31,SEA,NBA,PG,4,0,26,0,3,0,0,0,NA,0,3,0,0,0,0,NA,1,0,1,4,0,0,1,2,0
Career,NA,,NBA,,203,19,2684,304,749,0.406,34,97,0.351,270,652,0.414,0.429,131,170,0.771,74,208,282,415,121,31,223,297,773
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHO,NBA,,80,15,1103,160,381,0.42,19,55,0.345,141,326,0.433,0.445,54,64,0.844,25,107,132,173,51,13,93,130,393
1 season,NA,HOU,NBA,,64,0,981,100,229,0.437,9,22,0.409,91,207,0.44,0.456,42,65,0.646,32,62,94,155,39,12,102,107,251
2 seasons,NA,SEA,NBA,,17,0,202,15,57,0.263,1,8,0.125,14,49,0.286,0.272,10,11,0.909,10,16,26,30,9,2,3,13,41
1 season,NA,UTA,NBA,,17,4,227,22,52,0.423,5,8,0.625,17,44,0.386,0.471,15,17,0.882,3,9,12,45,12,2,14,28,64
1 season,NA,ATL,NBA,,12,0,82,3,12,0.25,0,0,NA,3,12,0.25,0.25,4,5,0.8,1,5,6,5,7,2,6,6,10
1 season,NA,CHI,NBA,,5,0,22,0,2,0,0,0,NA,0,2,0,0,0,0,NA,1,3,4,1,1,0,1,6,0
1 season,NA,LAC,NBA,,4,0,48,2,10,0.2,0,3,0,2,7,0.286,0.2,4,6,0.667,2,5,7,4,2,0,4,7,8
1 season,NA,GSW,NBA,,2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,1,1,1,0,0,0,0,0
1 season,NA,NOH,NBA,,2,0,12,2,4,0.5,0,0,NA,2,4,0.5,0.5,2,2,1,0,0,0,1,0,0,0,0,6
