Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,26,STB,BAA,NA,61,NA,NA,NA,NA,0.278,NA,NA,0.748,NA,NA,NA,NA
1947-48,27,STB,BAA,NA,48,NA,NA,NA,NA,0.301,NA,NA,0.743,NA,NA,NA,NA
1948-49,28,STB,BAA,NA,57,NA,NA,NA,NA,0.346,NA,NA,0.791,NA,NA,NA,NA
1949-50,29,STB,NBA,NA,62,NA,NA,NA,NA,0.331,NA,NA,0.783,NA,NA,NA,NA
1950-51,30,TRI,NBA,NA,30,NA,NA,NA,NA,0.312,NA,NA,0.75,NA,NA,NA,NA
Career,NA,,TOT,NA,258,NA,NA,NA,NA,0.312,NA,NA,0.767,NA,NA,NA,NA
,NA,,BAA,NA,166,NA,NA,NA,NA,0.306,NA,NA,0.762,NA,NA,NA,NA
,NA,,NBA,NA,92,NA,NA,NA,NA,0.326,NA,NA,0.776,NA,NA,NA,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STB,BAA,NA,228,NA,NA,NA,NA,0.311,NA,NA,0.768,NA,NA,NA,NA
1 season,NA,TRI,NBA,NA,30,NA,NA,NA,NA,0.312,NA,NA,0.75,NA,NA,NA,NA
