Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,24,MNL,NBA,C,13,NA,265,54,120,0.45,28,58,0.483,126,7,37,136
1954-55,25,MNL,NBA,C,7,NA,197,44,98,0.449,29,40,0.725,64,3,32,117
1955-56,26,MNL,NBA,C,3,NA,69,19,39,0.487,19,32,0.594,25,6,13,57
1956-57,27,MNL,NBA,C,5,NA,181,51,118,0.432,19,26,0.731,47,11,21,121
1957-58,28,CIN,NBA,C,2,NA,72,12,31,0.387,9,14,0.643,21,1,9,33
1958-59,29,STL,NBA,C,6,NA,161,35,70,0.5,22,28,0.786,59,8,23,92
1959-60,30,STL,NBA,C,14,NA,426,95,242,0.393,56,68,0.824,151,39,53,246
1960-61,31,STL,NBA,C,8,NA,191,46,114,0.404,31,47,0.66,52,11,23,123
1962-63,33,BOS,NBA,C,6,NA,40,7,26,0.269,4,6,0.667,5,1,13,18
1963-64,34,BOS,NBA,C,5,NA,40,8,34,0.235,4,4,1,7,2,8,20
Career,NA,,NBA,,69,NA,1642,371,892,0.416,221,323,0.684,557,89,232,963
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STL,NBA,,28,NA,778,176,426,0.413,109,143,0.762,262,58,99,461
4 seasons,NA,MNL,NBA,,28,NA,712,168,375,0.448,95,156,0.609,262,27,103,431
2 seasons,NA,BOS,NBA,,11,NA,80,15,60,0.25,8,10,0.8,12,3,21,38
1 season,NA,CIN,NBA,,2,NA,72,12,31,0.387,9,14,0.643,21,1,9,33
