Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1976-77,23,HOU,NBA,SG,12,NA,430,6.3,11.6,0.54,NA,NA,NA,6.3,11.6,0.54,2.2,2.8,0.765,0.3,2.4,2.8,6.9,2,0.3,NA,2.8,14.7
1981-82,28,WSB,NBA,PG,7,NA,74,6.8,12.6,0.538,0.5,1.5,0.333,6.3,11.2,0.565,1,1.5,0.667,0,3.9,3.9,9.7,1.5,0.5,1.9,2.9,15.1
1984-85,31,HOU,NBA,PG,5,4,152,6.2,18.9,0.325,0.5,3.3,0.143,5.7,15.6,0.364,3.3,5.2,0.636,1.7,3.3,5,6.4,1.4,0,1.7,3.3,16.1
1986-87,33,MIL,NBA,PG,12,12,362,6.8,14.9,0.453,1.2,3.6,0.333,5.6,11.3,0.491,3.9,4.8,0.813,0.4,2.1,2.5,6.2,1.4,0.1,2,1.7,18.6
1987-88,34,MIL,NBA,PG,5,0,80,4.5,12.2,0.37,1.4,5.9,0.231,3.2,6.3,0.5,2.7,4.1,0.667,2.3,1.4,3.6,8.6,2.3,0,2.7,2.3,13.1
1988-89,35,SEA,NBA,PG,4,0,37,4.9,16.5,0.294,0,2.9,0,4.9,13.6,0.357,1,1.9,0.5,0,1,1,7.8,0,0,1.9,4.9,10.7
Career,NA,,NBA,,45,16,1135,6.3,13.9,0.451,0.9,3.5,0.261,5.7,11.7,0.486,2.8,3.7,0.746,0.6,2.4,3,6.9,1.6,0.2,2,2.5,15.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,HOU,NBA,,17,4,582,6.2,13.5,0.461,0.5,3.3,0.143,6.1,12.7,0.483,2.5,3.5,0.714,0.7,2.7,3.3,6.8,1.9,0.2,1.7,2.9,15.1
2 seasons,NA,MIL,NBA,,17,12,442,6.4,14.4,0.441,1.2,4,0.306,5.1,10.4,0.492,3.7,4.6,0.789,0.7,2,2.7,6.6,1.5,0.1,2.1,1.8,17.6
1 season,NA,WSB,NBA,,7,NA,74,6.8,12.6,0.538,0.5,1.5,0.333,6.3,11.2,0.565,1,1.5,0.667,0,3.9,3.9,9.7,1.5,0.5,1.9,2.9,15.1
1 season,NA,SEA,NBA,,4,0,37,4.9,16.5,0.294,0,2.9,0,4.9,13.6,0.357,1,1.9,0.5,0,1,1,7.8,0,0,1.9,4.9,10.7
