Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Don MacLean,,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0,-0.2
Don May,75.7,6.1,2.9,1.3,0.5,0.3,0.2,0,NA,NA
Dick Mehen,75.4,5.6,1.9,0.6,NA,NA,NA,NA,NA,NA
Wah Wah Jones,73.3,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA
Landry Fields,71.6,5.3,3.4,1.1,0.4,0.3,NA,NA,NA,NA
Andy Johnson,71.5,4.6,1.8,1.3,0.3,NA,NA,NA,NA,NA
Donatas Motiejūnas,71.3,4.7,1.4,0.7,0.3,0.2,-0.1,NA,NA,NA
Alex Hannum,70.0,5.1,2.1,1.7,1.6,0.5,0.4,NA,NA,NA
Kevon Looney,68.9,6,2.8,1.4,0.1,NA,NA,NA,NA,NA
Vern Gardner,68.0,5.9,1.6,-0.1,NA,NA,NA,NA,NA,NA
Tony Jaros,66.3,4.4,2.2,1.3,0.6,NA,NA,NA,NA,NA
