Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,23,WSB,NBA,PF,62,4,674,157,361,0.435,3,6,0.5,154,355,0.434,0.439,90,111,0.811,33,89,122,39,11,4,42,82,407
1993-94,24,WSB,NBA,SF,75,69,2487,517,1030,0.502,3,21,0.143,514,1009,0.509,0.503,328,398,0.824,140,327,467,160,47,22,152,169,1365
1994-95,25,WSB,NBA,PF,39,20,1052,158,361,0.438,10,40,0.25,148,321,0.461,0.452,104,136,0.765,46,119,165,51,15,3,44,97,430
1995-96,26,DEN,NBA,SF,56,5,1107,233,547,0.426,14,49,0.286,219,498,0.44,0.439,145,198,0.732,62,143,205,89,21,5,68,105,625
1996-97,27,PHI,NBA,SF,37,2,733,163,365,0.447,12,38,0.316,151,327,0.462,0.463,64,97,0.66,41,99,140,37,12,10,47,71,402
1997-98,28,NJN,NBA,SF,9,0,42,1,10,0.1,1,2,0.5,0,8,0,0.15,0,0,NA,3,2,5,0,0,0,2,7,3
1998-99,29,SEA,NBA,PF,17,10,365,63,159,0.396,9,33,0.273,54,126,0.429,0.425,50,80,0.625,18,47,65,16,5,5,25,34,185
1999-00,30,PHO,NBA,PF,16,0,143,18,49,0.367,2,6,0.333,16,43,0.372,0.388,4,6,0.667,6,17,23,8,2,1,8,24,42
2000-01,31,MIA,NBA,SF,8,1,76,10,20,0.5,2,2,1,8,18,0.444,0.55,9,12,0.75,7,11,18,4,5,1,10,9,31
Career,NA,,NBA,,319,111,6679,1320,2902,0.455,56,197,0.284,1264,2705,0.467,0.465,794,1038,0.765,356,854,1210,404,118,51,398,598,3490
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,WSB,NBA,,176,93,4213,832,1752,0.475,16,67,0.239,816,1685,0.484,0.479,522,645,0.809,219,535,754,250,73,29,238,348,2202
1 season,NA,DEN,NBA,,56,5,1107,233,547,0.426,14,49,0.286,219,498,0.44,0.439,145,198,0.732,62,143,205,89,21,5,68,105,625
1 season,NA,PHI,NBA,,37,2,733,163,365,0.447,12,38,0.316,151,327,0.462,0.463,64,97,0.66,41,99,140,37,12,10,47,71,402
1 season,NA,SEA,NBA,,17,10,365,63,159,0.396,9,33,0.273,54,126,0.429,0.425,50,80,0.625,18,47,65,16,5,5,25,34,185
1 season,NA,PHO,NBA,,16,0,143,18,49,0.367,2,6,0.333,16,43,0.372,0.388,4,6,0.667,6,17,23,8,2,1,8,24,42
1 season,NA,NJN,NBA,,9,0,42,1,10,0.1,1,2,0.5,0,8,0,0.15,0,0,NA,3,2,5,0,0,0,2,7,3
1 season,NA,MIA,NBA,,8,1,76,10,20,0.5,2,2,1,8,18,0.444,0.55,9,12,0.75,7,11,18,4,5,1,10,9,31
