Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,25,HOU,NBA,PG,82,82,2386,6,13.5,0.441,3.4,8.4,0.404,2.6,5.1,0.5,1.6,2,0.763,0.4,3.1,3.5,6.7,1.8,0,2.7,2.7,16.8,NA,113,108
1997-98,26,HOU,NBA,PG,78,78,2217,5.7,13.9,0.408,3,8.2,0.364,2.7,5.7,0.471,1.5,1.9,0.833,0.4,3,3.4,5.2,1.5,0.1,2.5,2.4,15.9,NA,106,112
1998-99,27,HOU,NBA,PG,15,7,186,1.5,8.1,0.179,0.3,4.4,0.067,1.2,3.8,0.308,2.9,3.2,0.909,0.6,2.3,2.9,6.1,1.2,0,4.1,2,6.1,NA,70,109
1999-00,28,CHI,NBA,PG,51,12,1175,5.2,14.5,0.358,2.8,7.9,0.356,2.4,6.6,0.361,1.7,2.1,0.822,0.5,2.5,2.9,6.3,1.5,0.1,2.9,1.9,14.9,NA,98,109
2000-01,29,ATL,NBA,PG,55,27,1403,5.4,12.9,0.42,1.9,5.3,0.359,3.5,7.7,0.461,1,1.3,0.765,0.5,3.8,4.4,5.7,2.1,0.2,2.6,3.5,13.7,NA,100,107
2002-03,31,ATL,NBA,PG,14,0,103,4.1,12.8,0.32,2.6,7.7,0.333,1.5,5.1,0.3,1.5,2.6,0.6,0.5,3.1,3.6,8.7,2,0,2.6,4.6,12.3,NA,99,109
Career,NA,,NBA,,295,206,7470,5.5,13.5,0.408,2.8,7.6,0.372,2.7,6,0.453,1.5,1.9,0.797,0.4,3.1,3.5,6,1.7,0.1,2.7,2.7,15.4,NA,105,109
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,HOU,NBA,,175,167,4789,5.7,13.5,0.419,3.1,8.2,0.379,2.6,5.4,0.48,1.6,2,0.802,0.4,3,3.4,6,1.6,0.1,2.7,2.5,16,NA,108,110
2 seasons,NA,ATL,NBA,,69,27,1506,5.3,12.9,0.413,1.9,5.4,0.357,3.4,7.5,0.454,1,1.4,0.744,0.5,3.8,4.3,5.9,2.1,0.2,2.6,3.6,13.6,NA,100,107
1 season,NA,CHI,NBA,,51,12,1175,5.2,14.5,0.358,2.8,7.9,0.356,2.4,6.6,0.361,1.7,2.1,0.822,0.5,2.5,2.9,6.3,1.5,0.1,2.9,1.9,14.9,NA,98,109
