Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,22,LAC,NBA,PF,26,18,950,6.7,13.6,0.494,0,0.2,0.2,6.7,13.4,0.499,3,3.9,0.767,2.7,3.8,6.5,3.1,1.7,0.9,3.5,3.4,16.4
1989-90,23,LAC,NBA,PF,71,42,2269,7,13.1,0.533,0,0.1,0,7,13,0.536,4.3,5.9,0.741,2.3,4.4,6.7,3,1.4,0.6,3,4.1,18.3
1990-91,24,LAC,NBA,PF,73,47,2197,7.7,14.8,0.519,0,0,0,7.7,14.8,0.521,3.6,5,0.716,2.8,4.2,7,3.2,1.9,1,3.1,4.6,19
1991-92,25,LAC,NBA,PF,82,82,2904,8.1,14.9,0.542,0,0.1,0,8.1,14.8,0.544,3.5,4.8,0.725,2.8,4.2,7,3.5,1.7,1.5,2.6,3.6,19.6
1992-93,26,LAC,NBA,PF,79,77,2761,9.2,18,0.509,0.1,0.4,0.267,9,17.6,0.514,5.1,6.3,0.802,2.6,4.2,6.8,2.7,1.4,1.3,3,4.2,23.5
1993-94,27,TOT,NBA,PF,68,66,2520,8.4,17.2,0.488,0,0.2,0.176,8.3,16.9,0.492,3.3,4.9,0.669,1.9,4.8,6.6,3.7,1.4,1.2,3.3,3.7,20
1993-94,27,LAC,NBA,PF,42,41,1595,9.2,18.7,0.493,0,0.3,0.143,9.2,18.4,0.499,3.9,5.8,0.674,1.9,4.8,6.7,4,1.2,1.3,3.3,3.8,22.4
1993-94,27,ATL,NBA,PF,26,25,925,6.9,14.5,0.476,0,0.1,0.333,6.8,14.4,0.477,2.1,3.2,0.651,1.9,4.7,6.6,3.3,1.8,1,3.3,3.6,15.9
1994-95,28,PHO,NBA,PF,46,19,1510,8.1,14.8,0.547,0.1,0.5,0.286,8,14.3,0.556,3.2,4.8,0.673,2.3,4.3,6.6,3.7,1,1.4,2.9,4.2,19.6
1995-96,29,PHO,NBA,PF,33,4,816,7.9,17.1,0.459,0.1,0.6,0.214,7.7,16.5,0.468,3.6,4.8,0.752,1.3,5,6.3,2.9,1.7,1.1,3.4,5.3,19.5
1996-97,30,PHO,NBA,PF,77,17,2134,7.2,13.4,0.536,0.1,0.6,0.194,7.1,12.8,0.552,3.1,4.2,0.721,2.3,5.6,7.9,2.9,1.4,1.2,2.7,4.5,17.5
1997-98,31,PHO,NBA,PF,70,11,1794,7.8,15.2,0.516,0,0.1,0,7.8,15,0.521,3.4,4.5,0.739,2.2,5.7,7.9,2.8,1.4,0.9,2,4,19
1998-99,32,PHO,NBA,PF,50,5,1184,5.7,11.7,0.484,0,0.3,0.111,5.7,11.5,0.493,2.4,3.4,0.696,1.9,4.8,6.7,3.4,1.1,1.2,2.1,3.9,13.8
1999-00,33,MIL,NBA,PF,72,0,1217,4.4,10,0.44,0,0.1,0.25,4.4,9.9,0.442,1,1.5,0.654,1.5,4.7,6.2,2.2,1.8,0.9,1.6,5.4,9.9
2000-01,34,UTA,NBA,PF,82,0,1305,6.8,13.8,0.494,0.2,0.8,0.25,6.6,13,0.508,2.8,3.9,0.729,1.8,4.1,5.9,2.5,1.3,0.8,2.6,6,16.6
2001-02,35,DAL,NBA,PF,41,10,552,4.6,9.7,0.477,0.1,0.5,0.143,4.6,9.3,0.493,1.4,2.2,0.667,1.6,5.4,7,2,1.4,1.4,1.6,5.2,10.8
2002-03,36,DET,NBA,PF,13,0,89,5.3,12.9,0.406,1.2,3.2,0.375,4,9.7,0.417,2,2.4,0.833,2.8,4.4,7.3,2.8,3.6,1.2,2.8,4.4,13.8
Career,NA,,NBA,,883,398,24202,7.5,14.6,0.511,0.1,0.3,0.206,7.4,14.3,0.517,3.4,4.6,0.729,2.3,4.6,6.9,3.1,1.5,1.1,2.8,4.3,18.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,LAC,NBA,,373,307,12676,8.1,15.6,0.518,0,0.2,0.177,8.1,15.4,0.522,4,5.4,0.741,2.5,4.3,6.8,3.2,1.6,1.2,3,4,20.2
5 seasons,NA,PHO,NBA,,276,56,7438,7.4,14.3,0.516,0.1,0.4,0.195,7.3,13.8,0.526,3.1,4.4,0.716,2.1,5.1,7.3,3.1,1.3,1.2,2.6,4.3,17.9
1 season,NA,UTA,NBA,,82,0,1305,6.8,13.8,0.494,0.2,0.8,0.25,6.6,13,0.508,2.8,3.9,0.729,1.8,4.1,5.9,2.5,1.3,0.8,2.6,6,16.6
1 season,NA,MIL,NBA,,72,0,1217,4.4,10,0.44,0,0.1,0.25,4.4,9.9,0.442,1,1.5,0.654,1.5,4.7,6.2,2.2,1.8,0.9,1.6,5.4,9.9
1 season,NA,DAL,NBA,,41,10,552,4.6,9.7,0.477,0.1,0.5,0.143,4.6,9.3,0.493,1.4,2.2,0.667,1.6,5.4,7,2,1.4,1.4,1.6,5.2,10.8
1 season,NA,ATL,NBA,,26,25,925,6.9,14.5,0.476,0,0.1,0.333,6.8,14.4,0.477,2.1,3.2,0.651,1.9,4.7,6.6,3.3,1.8,1,3.3,3.6,15.9
1 season,NA,DET,NBA,,13,0,89,5.3,12.9,0.406,1.2,3.2,0.375,4,9.7,0.417,2,2.4,0.833,2.8,4.4,7.3,2.8,3.6,1.2,2.8,4.4,13.8
