,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1983-84,23,GSW,NBA,,5,9,1,3,4,8,3,4,2,5,5,4,3,1,4,5,14,13.3
1984-85,24,UTA,NBA,,4,8,0,1,4,8,3,4,3,2,5,5,3,2,4,3,8,7.7
1985-86,25,UTA,NBA,,7,10,2,4,6,10,6,8,3,6,6,4,2,2,4,5,19,14.0
1986-87,26,NJN,NBA,,9,15,1,2,8,13,6,6,4,7,7,6,5,1,5,4,25,24.8
1987-88,27,MIL,NBA,,5,10,1,2,5,8,5,6,2,4,4,6,2,2,3,5,12,10.3
1988-89,28,TOT,NBA,,2,3,0,1,2,2,0,0,0,2,2,1,1,0,2,1,4,4.7
1988-89,28,DET,NBA,,2,2,0,0,2,2,0,0,0,2,2,0,1,0,0,1,4,4.7
1988-89,28,ATL,NBA,,1,3,0,1,1,2,0,0,0,1,1,1,1,0,2,1,2,2.0
Career,,,,,9,15,2,4,8,13,6,8,4,7,7,6,5,2,5,5,25,24.8
2 Seasons,,UTA,NBA,,7,10,2,4,6,10,6,8,3,6,6,5,3,2,4,5,19,14.0
1 Season,,GSW,NBA,,5,9,1,3,4,8,3,4,2,5,5,4,3,1,4,5,14,13.3
1 Season,,MIL,NBA,,5,10,1,2,5,8,5,6,2,4,4,6,2,2,3,5,12,10.3
1 Season,,NJN,NBA,,9,15,1,2,8,13,6,6,4,7,7,6,5,1,5,4,25,24.8
1 Season,,ATL,NBA,,1,3,0,1,1,2,0,0,0,1,1,1,1,0,2,1,2,2.0
1 Season,,DET,NBA,,2,2,0,0,2,2,0,0,0,2,2,0,1,0,0,1,4,4.7
