Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2000-01,27,UTA,NBA,SF,5,160,10.6,0.449,0.148,0.167,9.4,19.1,14.1,9.1,0.7,2.8,13.4,19.8,NA,-0.1,0.1,0,0.01,NA,-1.3,-0.6,-1.9,0
2001-02,28,UTA,NBA,SF,4,124,21.5,0.5,0.12,0.32,12,16.2,14,17.1,1.3,4.1,8.1,22.3,NA,0.3,0.2,0.5,0.177,NA,6,1.3,7.3,0.3
2005-06,32,CLE,NBA,PF,13,345,15.2,0.552,0.442,0.163,8.4,16.8,12.6,4.1,1.1,2.2,10.4,17.2,NA,0.5,0.4,0.9,0.123,NA,2.5,0.4,2.9,0.4
2006-07,33,CLE,NBA,PF,19,204,9.8,0.454,0.652,0.159,6.9,16.8,11.8,4.5,0.8,1.7,6.3,18.6,NA,0.1,0.3,0.4,0.092,NA,-1.3,0.1,-1.2,0
2008-09,35,PHI,NBA,PF,6,50,5.3,0.5,0.688,0,0,17.3,8.8,0,1.1,1.8,11.1,17.5,NA,-0.1,0,0,-0.008,NA,-3.2,-1.4,-4.6,0
Career,NA,,NBA,,47,883,13.4,0.498,0.396,0.181,8.2,17.2,12.7,6.7,1,2.4,9.7,18.7,NA,0.7,1,1.8,0.095,NA,1.1,0.2,1.3,0.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,32,549,13.2,0.513,0.526,0.162,7.8,16.8,12.3,4.3,1,2,8.9,17.7,NA,0.5,0.7,1.3,0.111,NA,1.1,0.3,1.4,0.5
2 seasons,NA,UTA,NBA,,9,284,15.3,0.474,0.135,0.24,10.5,17.9,14.1,12.6,1,3.4,10.9,20.9,NA,0.2,0.3,0.5,0.083,NA,1.9,0.2,2.1,0.3
1 season,NA,PHI,NBA,,6,50,5.3,0.5,0.688,0,0,17.3,8.8,0,1.1,1.8,11.1,17.5,NA,-0.1,0,0,-0.008,NA,-3.2,-1.4,-4.6,0
