,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,24,MNL,NBA,,4,,3,4,,,6,11
1950-51,25,MNL,NBA,,4,,3,5,,,4,10
1951-52,26,MNL,NBA,,11,,10,13,,,6,32
1952-53,27,MNL,NBA,,6,,10,12,,,6,18
1953-54,28,MNL,NBA,,8,,8,9,,,6,24
1954-55,29,MNL,NBA,,6,,11,11,,,4,21
1955-56,30,MNL,NBA,,9,15,10,13,,,5,28
1956-57,31,TOT,NBA,,10,23,12,16,,,6,26
1956-57,31,STL,NBA,,10,23,12,16,,,6,26
1957-58,32,STL,NBA,,9,23,11,16,,,6,25
1958-59,33,STL,NBA,,4,5,0,0,3,2,2,8
1959-60,34,STL,NBA,,1,7,1,3,,,4,3
Career,,,,,11,,12,16,,,6,32
7 Seasons,,MNL,NBA,,11,,11,13,,,6,32
4 Seasons,,STL,NBA,,10,23,12,16,,,6,26
