Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1980-81,21,TOT,NBA,PG,79,NA,2266,8.1,16.4,0.494,0.1,0.4,0.238,8,15.9,0.501,4.2,5.3,0.802,1,2,2.9,8.6,2.2,0.4,5.5,5.1,20.5,NA,99,107
1980-81,21,WSB,NBA,PG,45,NA,1161,9,18.1,0.499,0.2,0.6,0.333,8.8,17.5,0.505,4,5.2,0.767,1.2,1.5,2.7,8,1.9,0.4,6,4.8,22.3,NA,96,106
1980-81,21,ATL,NBA,PG,34,NA,1105,7,14.4,0.488,0,0.3,0,7,14.2,0.497,4.5,5.4,0.837,0.7,2.4,3.1,9.3,2.7,0.3,4.9,5.3,18.6,NA,103,108
1981-82,22,ATL,NBA,PG,47,5,837,7.9,18,0.44,0.1,0.5,0.25,7.8,17.5,0.445,3.6,4.8,0.759,1.1,2.4,3.5,8.4,3.2,0.1,3.8,7.8,19.5,NA,100,104
1982-83,23,ATL,NBA,PG,64,0,1187,7,17.3,0.403,0.6,2,0.292,6.4,15.4,0.418,3.5,4.6,0.768,1,2.7,3.7,10.2,2.5,0.3,5,5.3,18.1,NA,93,105
1983-84,24,TOT,NBA,PG,20,5,388,7.7,16.5,0.466,0.1,1,0.125,7.5,15.4,0.488,3.4,4.5,0.75,0.9,2.5,3.4,10.4,2,0.4,5,5.7,18.8,NA,100,108
1983-84,24,ATL,NBA,PG,6,0,96,8.4,15.7,0.533,0,0.5,0,8.4,15.2,0.552,9.4,11.5,0.818,0.5,1.6,2.1,11,2.6,0.5,5.2,6.8,26.2,NA,116,108
1983-84,24,PHI,NBA,PG,14,5,292,7.4,16.7,0.446,0.2,1.2,0.143,7.3,15.5,0.468,1.5,2.3,0.643,1,2.8,3.8,10.2,1.8,0.3,5,5.3,16.5,NA,94,108
1984-85,25,CHI,NBA,PG,78,38,1523,6.1,12.2,0.495,0.1,0.5,0.125,6,11.7,0.511,1.9,2.7,0.694,0.5,1.6,2.1,11.2,2.3,0.4,3.9,4.2,14.1,NA,104,112
1985-86,26,SAS,NBA,PG,75,46,1853,8,15,0.531,0.1,0.6,0.16,7.9,14.4,0.547,4.3,5.3,0.82,0.7,2.5,3.3,11.9,2.2,0.8,5.8,4.2,20.4,NA,105,110
1986-87,27,LAL,NBA,PG,50,0,532,7.9,16.6,0.476,0.1,0.3,0.333,7.8,16.3,0.478,2.6,3.2,0.806,1.2,3,4.2,8.9,2,0.4,4.5,4.7,18.5,NA,101,109
1987-88,28,LAL,NBA,PG,51,8,706,7.8,17,0.46,0.5,2.1,0.233,7.3,15,0.491,3.7,4.5,0.831,1.1,3.4,4.5,9.5,1.7,0.2,4.7,4.5,19.8,NA,102,110
1989-90,30,ATL,NBA,PG,1,0,13,3.9,11.6,0.333,0,3.9,0,3.9,7.7,0.5,7.7,7.7,1,0,0,0,19.3,0,0,0,0,15.4,NA,149,121
Career,NA,,NBA,,465,102,9305,7.5,15.7,0.478,0.2,0.8,0.225,7.3,14.9,0.492,3.6,4.5,0.788,0.9,2.3,3.2,10.1,2.3,0.4,5,5,18.8,NA,101,108
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,ATL,NBA,,152,5,3238,7.3,16.4,0.442,0.2,1,0.25,7,15.4,0.454,4.1,5.1,0.796,0.9,2.5,3.4,9.5,2.7,0.3,4.7,5.9,18.8,NA,99,106
2 seasons,NA,LAL,NBA,,101,8,1238,7.9,16.8,0.467,0.3,1.3,0.242,7.5,15.6,0.485,3.2,3.9,0.822,1.1,3.3,4.4,9.2,1.9,0.3,4.6,4.6,19.2,NA,101,109
1 season,NA,CHI,NBA,,78,38,1523,6.1,12.2,0.495,0.1,0.5,0.125,6,11.7,0.511,1.9,2.7,0.694,0.5,1.6,2.1,11.2,2.3,0.4,3.9,4.2,14.1,NA,104,112
1 season,NA,SAS,NBA,,75,46,1853,8,15,0.531,0.1,0.6,0.16,7.9,14.4,0.547,4.3,5.3,0.82,0.7,2.5,3.3,11.9,2.2,0.8,5.8,4.2,20.4,NA,105,110
1 season,NA,WSB,NBA,,45,NA,1161,9,18.1,0.499,0.2,0.6,0.333,8.8,17.5,0.505,4,5.2,0.767,1.2,1.5,2.7,8,1.9,0.4,6,4.8,22.3,NA,96,106
1 season,NA,PHI,NBA,,14,5,292,7.4,16.7,0.446,0.2,1.2,0.143,7.3,15.5,0.468,1.5,2.3,0.643,1,2.8,3.8,10.2,1.8,0.3,5,5.3,16.5,NA,94,108
