,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1979-80,24,BOS,NBA,,10,14,0,0,10,14,7,10,,,15,4,,2,,4,27,
1980-81,25,BOS,NBA,,10,16,0,0,10,16,8,10,,,15,6,,,,5,28,
1981-82,26,BOS,NBA,,8,15,0,,8,,10,16,,,13,5,,,,5,26,
1982-83,27,BOS,NBA,,5,11,0,0,5,11,9,9,,,12,6,2,1,5,4,19,
1983-84,28,BOS,NBA,,8,14,0,1,8,14,14,17,8,5,12,8,4,1,4,6,24,26.9
1984-85,29,BOS,NBA,,6,8,0,0,6,8,4,5,3,5,7,2,2,1,4,3,16,15.1
1986-87,31,TOT,NBA,,5,7,0,1,5,7,5,5,3,4,6,6,1,0,1,6,15,14.4
1986-87,31,HOU,NBA,,5,7,0,1,5,7,5,5,3,4,6,6,1,0,1,6,15,14.4
1987-88,32,HOU,NBA,,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,2,2.0
Career,,,,,10,16,0,,10,,14,17,,,15,8,,,,6,28,
6 Seasons,,BOS,NBA,,10,16,0,,10,,14,17,,,15,8,,,,6,28,
2 Seasons,,HOU,NBA,,5,7,0,1,5,7,5,5,3,4,6,6,1,0,1,6,15,14.4
