,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2013-14,22,SAC,NBA,PG,45,897,82%,18%,,,,-5.1,-2.4,22,13,33,1,12,0,266,4,22
2014-15,23,SAC,NBA,PG,68,1436,91%,10%,,,,-7.9,-6.5,40,28,49,5,27,8,410,4,36
2015-16,24,TOT,NBA,PG,41,475,84%,16%,,,,+3.6,-1.0,13,7,16,1,5,1,132,0,14
2015-16,24,SAS,NBA,PG,31,256,86%,14%,,,,+8.2,-3.5,8,1,6,1,3,1,73,0,7
2015-16,24,MEM,NBA,PG,10,219,81%,19%,,,,-1.6,+0.7,5,6,10,0,2,0,59,0,7
Career,,,NBA,,154,2808,87%,13%,,,,-5.0,-4.3,75,48,98,7,44,9,808,8,72
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAC,NBA,,113,2333,87%,13%,,,,-6.8,-4.9,62,41,82,6,39,8,676,8,58
1 season,,SAS,NBA,,31,256,86%,14%,,,,+8.2,-3.5,8,1,6,1,3,1,73,0,7
1 season,,MEM,NBA,,10,219,81%,19%,,,,-1.6,+0.7,5,6,10,0,2,0,59,0,7
