,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2001-02,27,BOS,NBA,PF,14,194,,,,39%,61%,-6.0,-12.1,3,1,14,0,3,0,10,1,0
2002-03,28,BOS,NBA,SF,10,352,,,56%,44%,,+5.4,+21.0,3,3,19,2,1,0,52,1,4
2003-04,29,BOS,NBA,PF,4,127,,,,98%,2%,-14.7,+14.2,1,2,4,0,0,0,17,0,1
2004-05,30,PHO,NBA,PF,8,55,,,,85%,15%,+16.9,+13.5,1,0,8,0,0,0,8,0,1
2005-06,31,LAC,NBA,SF,8,10,,,44%,53%,3%,+10.8,+7.4,0,0,1,0,0,1,0,0,0
Career,,,NBA,,44,738,,,27%,55%,18%,-0.1,+10.4,8,6,46,2,4,1,87,2,6
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,BOS,NBA,,28,673,,,29%,53%,18%,-1.7,+10.2,7,6,37,2,4,0,79,2,5
1 season,,LAC,NBA,,8,10,,,44%,53%,3%,+10.8,+7.4,0,0,1,0,0,1,0,0,0
1 season,,PHO,NBA,,8,55,,,,85%,15%,+16.9,+13.5,1,0,8,0,0,0,8,0,1
