Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1981-82,22,LAL,NBA,SF,39,352,11.7,0.489,0.023,0.308,10.9,4.5,7.6,6,2.4,0.5,14.8,25.9,NA,-0.1,0.3,0.2,0.029,NA,-3.4,-1.7,-5.1,-0.3
1982-83,23,LAL,NBA,SF,39,381,9.4,0.451,0.043,0.141,10,5.6,7.7,8.3,1.3,0.7,13.5,20.7,NA,0,0.2,0.2,0.023,NA,-2.9,-2.3,-5.1,-0.3
1983-84,24,LAL,NBA,SF,77,1425,14.7,0.597,0.021,0.193,10,5.6,7.7,7.8,1.6,0.2,14.9,21,NA,1.8,1,2.8,0.095,NA,0,-1.4,-1.4,0.2
1984-85,25,LAL,NBA,SF,76,1170,17.3,0.567,0.1,0.261,10.4,6,8,8.4,1.6,0.3,10.6,26.4,NA,2.1,0.9,3,0.122,NA,0.7,-2.3,-1.6,0.1
1985-86,26,LAL,NBA,SF,71,1213,12.4,0.513,0.21,0.118,5,8,6.6,9,2,0.3,10.9,21.3,NA,0.7,1.2,1.9,0.075,NA,-1.4,-0.5,-1.9,0
1986-87,27,ATL,NBA,SF,76,1420,15.2,0.534,0.338,0.202,5.4,6.7,6.1,16.1,2.1,0.1,12.4,24.4,NA,1.7,1.5,3.2,0.108,NA,1.5,0.1,1.6,1.3
1987-88,28,TOT,NBA,SF-SG,48,1003,14.9,0.5,0.302,0.192,5.9,8,7,10.8,2.5,0.3,10.2,25.8,NA,0.5,0.6,1.1,0.052,NA,0.3,-1,-0.7,0.3
1987-88,28,ATL,NBA,SG,11,117,12.7,0.467,0.365,0.115,3.8,11.5,7.6,16.3,2.1,0,11.4,22.2,NA,0,0.1,0.1,0.038,NA,-1.4,-0.6,-2,0
1987-88,28,SAC,NBA,SF,37,886,15.2,0.504,0.295,0.201,6.2,7.5,6.9,10.1,2.5,0.4,10,26.3,NA,0.5,0.5,1,0.054,NA,0.6,-1.1,-0.5,0.3
1988-89,29,NJN,NBA,SG,80,2027,13.2,0.529,0.278,0.157,3.9,6.6,5.2,9.1,1.9,0.4,11.2,22.3,NA,1.2,1.1,2.3,0.055,NA,-0.5,-0.8,-1.3,0.4
1989-90,30,PHO,NBA,SF,14,280,9.8,0.53,0.264,0.241,4.6,9.2,7.1,7.7,1.4,0.2,12.7,16.3,NA,0.1,0.3,0.4,0.064,NA,-1.3,-1.1,-2.4,0
Career,NA,,NBA,,520,9271,14,0.535,0.202,0.191,6.8,6.7,6.7,9.9,1.9,0.3,11.9,23.1,NA,8,7.1,15.1,0.078,NA,-0.2,-1,-1.3,1.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,LAL,NBA,,302,4541,14.1,0.546,0.095,0.199,8.9,6.3,7.5,8.2,1.7,0.3,12.5,22.8,NA,4.5,3.6,8.1,0.085,NA,-0.7,-1.5,-2.2,-0.2
2 seasons,NA,ATL,NBA,,87,1537,15,0.53,0.34,0.196,5.3,7,6.2,16.1,2.1,0.1,12.3,24.2,NA,1.6,1.7,3.3,0.103,NA,1.3,0,1.3,1.3
1 season,NA,NJN,NBA,,80,2027,13.2,0.529,0.278,0.157,3.9,6.6,5.2,9.1,1.9,0.4,11.2,22.3,NA,1.2,1.1,2.3,0.055,NA,-0.5,-0.8,-1.3,0.4
1 season,NA,SAC,NBA,,37,886,15.2,0.504,0.295,0.201,6.2,7.5,6.9,10.1,2.5,0.4,10,26.3,NA,0.5,0.5,1,0.054,NA,0.6,-1.1,-0.5,0.3
1 season,NA,PHO,NBA,,14,280,9.8,0.53,0.264,0.241,4.6,9.2,7.1,7.7,1.4,0.2,12.7,16.3,NA,0.1,0.3,0.4,0.064,NA,-1.3,-1.1,-2.4,0
