Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,21,INA,ABA,SF,20,NA,633,6,14.8,0.406,0.2,0.9,0.267,5.8,14,0.415,5.3,8.5,0.627,NA,NA,12.9,3,NA,NA,3.6,4.3,17.6
1972-73,22,INA,ABA,PF,18,NA,731,7.9,17.6,0.451,0,0.2,0,7.9,17.3,0.457,5.4,7.3,0.732,4.5,6.4,10.9,1.9,NA,NA,3,3.8,21.2
1973-74,23,INA,ABA,PF,14,NA,585,7.3,16.1,0.456,0.1,0.4,0.286,7.2,15.6,0.461,5.9,7.9,0.744,4.2,6,10.2,2.9,1,0.4,2.8,3.1,20.7
1974-75,24,INA,ABA,PF,18,NA,731,10.5,22.4,0.468,1.1,3.6,0.315,9.4,18.8,0.497,6.5,9.5,0.688,4.7,9.4,14.1,7.3,1.8,0.5,5.5,4.3,28.6
1975-76,25,PHI,NBA,PF,3,NA,120,8.7,18.3,0.475,NA,NA,NA,8.7,18.3,0.475,3.3,5.4,0.611,2.7,9.6,12.3,3.6,0.3,1.2,NA,4.2,20.7
1976-77,26,PHI,NBA,PF,19,NA,603,6.1,16.3,0.374,NA,NA,NA,6.1,16.3,0.374,3.9,6.8,0.57,3.7,8.1,11.8,4.1,1.4,0.4,NA,5,16.1
1977-78,27,PHI,NBA,PF,10,NA,273,7,16.5,0.424,NA,NA,NA,7,16.5,0.424,5.4,6.5,0.837,3.2,7.1,10.3,4,2,0.1,5,5.3,19.4
1980-81,30,IND,NBA,PF,2,NA,39,2.8,13.8,0.2,0,0,NA,2.8,13.8,0.2,3.7,7.4,0.5,1.8,7.4,9.2,6.5,1.8,0,4.6,5.5,9.2
Career,NA,,TOT,,104,NA,3715,7.6,17.5,0.435,0.4,1.3,0.29,7.3,16.6,0.443,5.3,7.8,0.682,4.1,7.6,11.9,3.9,1.4,0.4,3.9,4.2,20.9
,NA,,ABA,,70,NA,2680,8,17.9,0.449,0.4,1.3,0.29,7.7,16.6,0.462,5.8,8.3,0.695,4.5,7.4,12.1,3.8,1.4,0.4,3.8,3.9,22.3
,NA,,NBA,,34,NA,1035,6.5,16.5,0.395,0,0,NA,6.5,16.5,0.395,4.2,6.6,0.64,3.4,8,11.4,4.1,1.4,0.4,5,5,17.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,"INA,IND",ABA,,72,NA,2719,8,17.9,0.446,0.4,1.3,0.29,7.6,16.5,0.459,5.8,8.3,0.693,4.4,7.4,12.1,3.9,1.4,0.4,3.8,3.9,22.1
3 seasons,NA,PHI,NBA,,32,NA,996,6.7,16.6,0.401,NA,NA,NA,6.7,16.6,0.401,4.2,6.5,0.646,3.4,8,11.5,4,1.4,0.4,5,5,17.5
