Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,TOR,NBA,SF,3,3,111,17,44,0.386,2,7,0.286,15,37,0.405,0.409,14,16,0.875,10,11,21,9,3,3,10,10,50
2000-01,21,ORL,NBA,SG,4,4,178,51,123,0.415,2,10,0.2,49,113,0.434,0.423,31,38,0.816,6,20,26,33,7,5,8,11,135
2001-02,22,ORL,NBA,SG,4,4,178,42,91,0.462,5,16,0.313,37,75,0.493,0.489,34,46,0.739,6,19,25,22,2,7,13,11,123
2002-03,23,ORL,NBA,SG,7,7,308,74,165,0.448,16,47,0.34,58,118,0.492,0.497,58,75,0.773,10,37,47,33,14,6,26,16,222
2004-05,25,HOU,NBA,SF,7,7,301,78,171,0.456,17,46,0.37,61,125,0.488,0.506,42,51,0.824,12,40,52,47,11,10,26,20,215
2006-07,27,HOU,NBA,SG,7,7,280,63,160,0.394,9,36,0.25,54,124,0.435,0.422,42,57,0.737,5,36,41,51,5,6,21,12,177
2007-08,28,HOU,NBA,SG,6,6,247,62,146,0.425,5,24,0.208,57,122,0.467,0.442,33,53,0.623,7,42,49,41,9,5,18,8,162
2011-12,32,ATL,NBA,SF,6,0,90,10,26,0.385,0,4,0,10,22,0.455,0.385,5,6,0.833,6,11,17,6,0,2,10,4,25
2012-13,33,SAS,NBA,SF,6,0,31,0,7,0,0,3,0,0,4,0,0,0,0,NA,1,7,8,7,2,3,2,1,0
Career,NA,,NBA,,50,38,1724,397,933,0.426,56,193,0.29,341,740,0.461,0.456,259,342,0.757,63,223,286,249,53,47,134,93,1109
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,HOU,NBA,,20,20,828,203,477,0.426,31,106,0.292,172,371,0.464,0.458,117,161,0.727,24,118,142,139,25,21,65,40,554
3 seasons,NA,ORL,NBA,,15,15,664,167,379,0.441,23,73,0.315,144,306,0.471,0.471,123,159,0.774,22,76,98,88,23,18,47,38,480
1 season,NA,ATL,NBA,,6,0,90,10,26,0.385,0,4,0,10,22,0.455,0.385,5,6,0.833,6,11,17,6,0,2,10,4,25
1 season,NA,SAS,NBA,,6,0,31,0,7,0,0,3,0,0,4,0,0,0,0,NA,1,7,8,7,2,3,2,1,0
1 season,NA,TOR,NBA,,3,3,111,17,44,0.386,2,7,0.286,15,37,0.405,0.409,14,16,0.875,10,11,21,9,3,3,10,10,50
