Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1980-81,23,BOS,NBA,PF,82,1,1645,10.3,19.3,0.533,0,0.1,0,10.3,19.2,0.535,3.1,4.6,0.679,4.5,5.9,10.4,1.6,0.8,4.4,3.2,7.5,23.7,NA,108,102
1981-82,24,BOS,NBA,PF,82,33,2332,9.4,17.8,0.531,0,0,NA,9.4,17.8,0.531,3.8,5,0.754,3.9,7.4,11.3,1.8,0.6,3.8,2.8,5.4,22.7,NA,113,102
1982-83,25,BOS,NBA,PF,82,13,2345,9.5,17.6,0.541,0,0,0,9.5,17.5,0.541,3.8,5.3,0.717,4.2,6.6,10.9,2,0.7,3.8,3.1,4.7,22.8,NA,111,102
1983-84,26,BOS,NBA,PF,82,10,2577,11,19.7,0.556,0,0.1,0.333,10.9,19.6,0.557,6.3,8.2,0.765,3.9,7.5,11.4,1.9,0.4,2.4,2.8,4.5,28.2,NA,120,105
1984-85,27,BOS,NBA,PF,79,31,2653,10.8,18.9,0.57,0,0.1,0,10.8,18.8,0.573,6.3,8.3,0.76,4.1,8.6,12.7,2.5,0.5,2.1,2.8,4.2,27.9,NA,122,106
1985-86,28,BOS,NBA,PF,68,62,2397,11.1,19.4,0.574,0,0,NA,11.1,19.4,0.574,6.5,8.3,0.776,3.4,7.5,10.9,3.6,0.6,2.7,2.9,3.8,28.7,NA,122,103
1986-87,29,BOS,NBA,PF,77,77,3060,12.6,20.8,0.604,0,0.1,0,12.6,20.7,0.606,6.8,8.1,0.836,3.9,8.2,12.1,3.1,0.6,2.7,3.1,3.8,31.9,NA,125,106
1987-88,30,BOS,NBA,PF,64,63,2390,11.3,18.7,0.604,0,0,NA,11.3,18.7,0.604,7.1,8.9,0.797,3.3,7.7,11,3.5,0.6,1.9,2.9,3.7,29.7,NA,126,110
1988-89,31,BOS,NBA,PF,78,74,2876,11.2,20.6,0.546,0,0.1,0,11.2,20.5,0.548,7.4,9.1,0.818,3.8,7,10.8,2.9,0.4,1.6,3.3,3.8,29.9,NA,120,111
1989-90,32,BOS,NBA,PF,82,25,2722,11.6,21.2,0.549,0.4,1.2,0.333,11.2,20,0.562,7.1,7.9,0.893,3.6,8.6,12.2,3.1,0.5,2.8,3.3,4.5,30.8,NA,120,107
1990-91,33,BOS,NBA,PF,68,10,2067,11.9,21.5,0.553,0.4,0.9,0.405,11.5,20.6,0.559,5.4,6.5,0.829,3.4,7.9,11.3,3,0.6,3.4,3.3,4.6,29.5,NA,118,106
1991-92,34,BOS,NBA,PF,56,1,1398,11.6,22.7,0.509,0,0.5,0,11.6,22.3,0.52,4.8,5.8,0.822,4.3,7.6,11.8,2.9,0.4,2.1,2.9,4,28,NA,112,108
1992-93,35,BOS,NBA,PF,71,0,1656,9.1,19.8,0.459,0.1,0.5,0.111,9,19.3,0.469,5,6,0.841,2.9,8,10.9,2.2,0.5,1.8,2.8,3.8,23.3,NA,105,108
Career,NA,,NBA,,971,400,30118,10.9,19.8,0.554,0.1,0.3,0.261,10.9,19.5,0.558,5.8,7.3,0.798,3.8,7.6,11.4,2.7,0.6,2.7,3,4.4,27.8,NA,118,106
