Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,23,PHI,NBA,SG,5,5,125,3.7,8.9,0.419,2.3,5.2,0.444,1.4,3.7,0.385,1.4,1.7,0.833,0.6,2.3,2.9,1.2,0.9,0,0.6,1.7,11.2
2011-12,24,PHI,NBA,SG,13,1,102,3.2,9.2,0.346,1.1,4.6,0.231,2.1,4.6,0.462,4.9,4.9,1,0.7,0.7,1.4,1.4,1.1,0.4,1.4,3.9,12.4
2012-13,25,LAL,NBA,SG,1,0,20,1.8,7.2,0.25,0,3.6,0,1.8,3.6,0.5,3.6,3.6,1,1.8,1.8,3.6,0,1.8,0,3.6,3.6,7.2
2015-16,28,DET,NBA,SG,1,0,2,18,18,1,0,0,NA,18,18,1,0,0,NA,0,0,0,0,0,0,0,0,36
2018-19,31,TOR,NBA,SG,14,0,66,4.9,15.8,0.31,1.1,7.1,0.154,3.8,8.7,0.438,1.1,1.6,0.667,0,4.9,4.9,0.5,2.2,0.5,1.6,3.8,12
Career,NA,,NBA,,34,6,315,3.8,10.4,0.363,1.5,5.3,0.283,2.3,5.1,0.444,2.6,2.9,0.92,0.6,2.3,2.9,1,1.3,0.2,1.3,3,11.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,PHI,NBA,,18,6,227,3.5,9,0.386,1.7,4.9,0.355,1.7,4.1,0.423,3,3.2,0.95,0.6,1.6,2.2,1.3,1,0.2,1,2.7,11.7
1 season,NA,TOR,NBA,,14,0,66,4.9,15.8,0.31,1.1,7.1,0.154,3.8,8.7,0.438,1.1,1.6,0.667,0,4.9,4.9,0.5,2.2,0.5,1.6,3.8,12
1 season,NA,DET,NBA,,1,0,2,18,18,1,0,0,NA,18,18,1,0,0,NA,0,0,0,0,0,0,0,0,36
1 season,NA,LAL,NBA,,1,0,20,1.8,7.2,0.25,0,3.6,0,1.8,3.6,0.5,3.6,3.6,1,1.8,1.8,3.6,0,1.8,0,3.6,3.6,7.2
