,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2010-11,23,PHI,NBA,SG,5,125,.419,19.5,.419,.129,.032,.032,.226,.581,.385,.500,.000,.000,.429,.444,.600,.000,0,1.000,.222,.500,0,0
2011-12,24,PHI,NBA,SG,13,102,.346,17.8,.500,.115,.115,.077,.192,.500,.462,.667,.333,1.000,.200,.231,.833,.000,0,1.000,.308,.500,0,0
2012-13,25,LAL,NBA,SG,1,20,.250,15.3,.500,.250,.000,.250,.000,.500,.500,1.000,,.000,,.000,.000,.000,0,,.500,.000,0,0
2015-16,28,DET,NBA,SG,1,2,1.000,6.0,1.000,.000,1.000,.000,.000,.000,1.000,,1.000,,,,1.000,.000,0,,,,0,0
2018-19,31,TOR,NBA,SG,14,66,.310,16.4,.552,.172,.172,.069,.138,.448,.438,.600,.400,.500,.250,.154,.857,.000,0,.500,.308,.250,0,0
Career,,,NBA,,34,315,.363,17.7,.495,.143,.110,.066,.176,.505,.444,.615,.400,.500,.313,.283,.750,.000,0,.923,.283,.385,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHI,NBA,,18,227,.386,18.7,.456,.123,.070,.053,.211,.544,.423,.571,.250,.667,.333,.355,.727,.000,0,1.000,.258,.500,0,0
1 season,,TOR,NBA,,14,66,.310,16.4,.552,.172,.172,.069,.138,.448,.438,.600,.400,.500,.250,.154,.857,.000,0,.500,.308,.250,0,0
1 season,,DET,NBA,,1,2,1.000,6.0,1.000,.000,1.000,.000,.000,.000,1.000,,1.000,,,,1.000,.000,0,,,,0,0
1 season,,LAL,NBA,,1,20,.250,15.3,.500,.250,.000,.250,.000,.500,.500,1.000,,.000,,.000,.000,.000,0,,.500,.000,0,0
