Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,PHI,NBA,PG,73,692,10.8,0.415,NA,0.17,NA,NA,NA,17.6,NA,NA,NA,NA,NA,-0.7,0.7,-0.1,-0.005,NA,NA,NA,NA,NA
1967-68,23,PHI,NBA,PG,71,758,11.9,0.456,NA,0.14,NA,NA,NA,17.1,NA,NA,NA,NA,NA,0,1.1,1.1,0.066,NA,NA,NA,NA,NA
1969-70,25,NYA,ABA,PG,80,3157,13.5,0.522,0.027,0.302,NA,NA,3.5,20.1,NA,NA,13.7,16.1,NA,3.8,2.6,6.5,0.098,NA,NA,NA,NA,NA
1970-71,26,NYA,ABA,PG,81,3284,13.9,0.506,0.018,0.297,NA,NA,3.5,28.1,NA,NA,17.6,19.8,NA,2.8,1.9,4.8,0.07,NA,NA,NA,NA,NA
1971-72,27,NYA,ABA,PG,80,3326,16.6,0.55,0.014,0.309,1.5,5.6,3.6,28.6,NA,NA,17,21.6,NA,6.3,2.1,8.4,0.121,NA,NA,NA,NA,NA
1972-73,28,NYA,ABA,PG,61,1849,13.8,0.513,0.023,0.3,1.1,5.8,3.5,35.8,NA,NA,20.1,20.3,NA,1.3,0.2,1.5,0.039,NA,NA,NA,NA,NA
1973-74,29,NYA,ABA,PG,56,1146,9.9,0.482,0.083,0.257,1.1,5.4,3.3,21.3,2,0.2,21.9,13.3,NA,0.3,1.3,1.6,0.068,NA,-2.4,0.4,-1.9,0
1974-75,30,NYA,ABA,PG,77,1384,13.9,0.528,0.065,0.189,0.9,4.5,2.7,28.7,2.3,0.3,19.2,16,NA,1.5,1.8,3.3,0.114,NA,0,0.1,0.1,0.7
1975-76,31,NYA,ABA,PG,67,1191,12.6,0.484,0.064,0.26,1,6.1,3.5,28.1,2,0.4,19.2,15.8,NA,0.7,1.1,1.8,0.074,NA,-0.5,-0.6,-1.1,0.3
Career,NA,,TOT,,646,16787,13.8,0.511,0.026,0.273,1.2,5.5,3.4,26.2,2.1,0.3,17.5,18.3,NA,16,12.8,28.8,0.082,NA,-0.9,0,-0.9,1
,NA,,ABA,,502,15337,14,0.52,0.03,0.289,1.2,5.5,3.4,27.1,2.1,0.3,17.5,18.3,NA,16.8,11.1,27.9,0.087,NA,-0.9,0,-0.9,1
,NA,,NBA,,144,1450,11.4,0.435,NA,0.155,NA,NA,NA,17.4,NA,NA,NA,NA,NA,-0.8,1.7,1,0.033,NA,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,NYA,ABA,,502,15337,14,0.52,0.03,0.289,1.2,5.5,3.4,27.1,2.1,0.3,17.5,18.3,NA,16.8,11.1,27.9,0.087,NA,-0.9,0,-0.9,1
2 seasons,NA,PHI,NBA,,144,1450,11.4,0.435,NA,0.155,NA,NA,NA,17.4,NA,NA,NA,NA,NA,-0.8,1.7,1,0.033,NA,NA,NA,NA,NA
