Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,24,DET,NBA,SG,77,NA,1555,7.2,16.2,0.446,NA,NA,NA,7.2,16.2,0.446,5.3,6.6,0.795,1.2,4.8,6,4.3,2,0.2,NA,4.8,19.7,NA,NA,95
1974-75,25,DET,NBA,SG,80,NA,1995,8,16.8,0.479,NA,NA,NA,8,16.8,0.479,5.1,5.9,0.851,0.9,3.7,4.6,4.8,1.7,0.1,NA,4.7,21.1,NA,NA,102
1975-76,26,DET,NBA,SG,67,NA,1105,10.9,22.3,0.489,NA,NA,NA,10.9,22.3,0.489,7.9,9.8,0.81,1.1,3.6,4.7,4.5,1.7,0.2,NA,5.7,29.7,NA,NA,103
1976-77,27,CHI,NBA,SG,61,NA,1178,8.5,18.7,0.456,NA,NA,NA,8.5,18.7,0.456,3.6,4.6,0.788,1.2,3.3,4.5,4.6,1.5,0.2,NA,4.2,20.7,NA,NA,100
1977-78,28,CHI,NBA,SG,81,NA,1767,8.7,18.1,0.481,NA,NA,NA,8.7,18.1,0.481,4.9,6.4,0.773,1.1,2.4,3.5,6.2,1.4,0.1,3.3,4.5,22.3,NA,107,106
1978-79,29,CHI,NBA,SG,75,NA,1705,9.2,18.8,0.491,NA,NA,NA,9.2,18.8,0.491,4.1,5,0.824,0.7,2.5,3.2,5.1,1.3,0.1,3.3,4,22.6,NA,106,108
1979-80,30,CHI,NBA,SG,36,NA,387,11,20.2,0.542,0,0.7,0,11,19.5,0.563,4.7,6,0.796,0.4,2.4,2.8,4.6,1.2,0,4.4,6.6,26.7,NA,105,111
1980-81,31,GSW,NBA,SG,2,NA,11,0,17.3,0,0,0,NA,0,17.3,0,0,0,NA,0,0,0,8.6,0,0,0,0,0,NA,33,117
Career,NA,,NBA,,479,NA,9703,8.7,18.3,0.478,0,0.7,0,8.7,18.2,0.478,5,6.2,0.808,1,3.3,4.3,5,1.6,0.1,1.4,4.7,22.5,NA,106,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CHI,NBA,,253,NA,5037,9,18.6,0.484,0,0.7,0,9,18.6,0.485,4.3,5.5,0.794,0.9,2.6,3.6,5.4,1.3,0.1,2.6,4.4,22.4,NA,106,106
3 seasons,NA,DET,NBA,,224,NA,4655,8.4,17.9,0.472,NA,NA,NA,8.4,17.9,0.472,5.8,7.1,0.819,1,4,5.1,4.5,1.8,0.2,NA,5,22.7,NA,NA,100
1 season,NA,GSW,NBA,,2,NA,11,0,17.3,0,0,0,NA,0,17.3,0,0,0,NA,0,0,0,8.6,0,0,0,0,0,NA,33,117
