Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,21,MNL,NBA,PF,12,NA,NA,55,149,0.369,46,60,0.767,NA,18,52,156
1950-51,22,MNL,NBA,PF,7,NA,NA,39,96,0.406,31,47,0.66,67,17,35,109
1951-52,23,MNL,NBA,PF,13,NA,495,60,139,0.432,53,64,0.828,110,20,66,173
1952-53,24,MNL,NBA,PF,12,NA,400,44,133,0.331,56,66,0.848,104,24,59,144
1953-54,25,MNL,NBA,PF,13,NA,375,51,111,0.459,31,36,0.861,73,17,52,133
1954-55,26,MNL,NBA,PF,7,NA,209,30,85,0.353,36,46,0.783,78,13,36,96
1955-56,27,MNL,NBA,PF,3,NA,90,11,26,0.423,18,20,0.9,17,2,14,40
1956-57,28,MNL,NBA,PF,5,NA,162,33,83,0.398,22,34,0.647,43,17,29,88
1958-59,30,MNL,NBA,PF,13,NA,371,73,177,0.412,56,73,0.767,93,24,54,202
Career,NA,,NBA,,85,NA,2102,396,999,0.396,349,446,0.783,585,152,397,1141
