,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2006-07,19,UTA,NBA,SG,1,3,61%,39%,,,,+20.0,+18.8,0,0,0,0,1,0,0,0,0
2007-08,20,UTA,NBA,SG,7,26,,79%,21%,,,-28.7,-30.3,2,0,1,0,0,0,0,0,1
2008-09,21,UTA,NBA,SG,5,58,,100%,,,,-17.5,-10.2,1,2,3,0,2,0,2,0,1
2009-10,22,UTA,NBA,SF,10,337,,2%,97%,1%,,-5.8,-14.0,12,5,24,0,18,7,64,3,2
2015-16,28,IND,NBA,SF,7,92,,,100%,,,-11.0,-17.6,0,3,6,0,0,0,9,0,3
2016-17,29,IND,NBA,SF,4,82,,50%,43%,7%,,-9.6,-10.3,0,0,5,2,0,0,3,0,0
2017-18,30,TOR,NBA,SF,10,227,,,81%,19%,,-5.7,-2.7,4,1,9,2,7,0,19,2,4
Career,,,NBA,,44,825,,15%,78%,6%,,-8.2,-11.0,19,11,48,4,28,7,97,5,11
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,UTA,NBA,,23,424,,20%,79%,1%,,-8.7,-14.3,15,7,28,0,21,7,66,3,4
2 seasons,,IND,NBA,,11,174,,24%,73%,3%,,-10.4,-14.2,0,3,11,2,0,0,12,0,3
1 season,,TOR,NBA,,10,227,,,81%,19%,,-5.7,-2.7,4,1,9,2,7,0,19,2,4
