Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,21,POR,NBA,SF,48,14,495,108,260,0.415,21,70,0.3,87,190,0.458,0.456,35,40,0.875,40,43,83,11,8,5,31,59,272
1993-94,22,POR,NBA,SF,66,1,820,167,355,0.47,50,109,0.459,117,246,0.476,0.541,50,72,0.694,43,68,111,31,21,20,37,76,434
1994-95,23,TOT,NBA,SF,54,3,516,95,233,0.408,35,86,0.407,60,147,0.408,0.483,33,42,0.786,20,39,59,19,14,4,35,73,258
1994-95,23,POR,NBA,SF,29,3,313,63,153,0.412,16,41,0.39,47,112,0.42,0.464,28,34,0.824,18,19,37,14,7,1,20,42,170
1994-95,23,HOU,NBA,SF,25,0,203,32,80,0.4,19,45,0.422,13,35,0.371,0.519,5,8,0.625,2,20,22,5,7,3,15,31,88
1995-96,24,TOR,NBA,SF,82,37,2458,496,1092,0.454,151,358,0.422,345,734,0.47,0.523,182,219,0.831,114,238,352,131,87,40,132,208,1325
1996-97,25,WSB,NBA,SF,82,1,1814,288,678,0.425,106,300,0.353,182,378,0.481,0.503,135,161,0.839,84,169,253,78,69,19,86,150,817
1997-98,26,WAS,NBA,SF,82,12,2227,449,1007,0.446,158,403,0.392,291,604,0.482,0.524,182,209,0.871,75,202,277,84,67,25,102,167,1238
1998-99,27,WAS,NBA,SF,36,0,653,83,237,0.35,33,103,0.32,50,134,0.373,0.42,34,42,0.81,18,63,81,27,21,6,29,65,233
1999-00,28,WAS,NBA,SF,80,8,1831,290,670,0.433,113,263,0.43,177,407,0.435,0.517,120,141,0.851,63,208,271,72,45,24,84,185,813
2000-01,29,TOT,NBA,SF,51,1,588,94,248,0.379,36,103,0.35,58,145,0.4,0.452,33,42,0.786,22,59,81,23,12,7,26,53,257
2000-01,29,DEN,NBA,SF,13,0,135,17,55,0.309,7,23,0.304,10,32,0.313,0.373,9,10,0.9,4,18,22,9,4,1,6,8,50
2000-01,29,TOR,NBA,SF,38,1,453,77,193,0.399,29,80,0.363,48,113,0.425,0.474,24,32,0.75,18,41,59,14,8,6,20,45,207
2001-02,30,TOR,NBA,SF,40,3,473,85,207,0.411,40,104,0.385,45,103,0.437,0.507,17,21,0.81,18,35,53,19,11,8,25,38,227
2002-03,31,LAL,NBA,SF,31,0,193,23,71,0.324,8,38,0.211,15,33,0.455,0.38,7,9,0.778,5,18,23,12,5,3,14,22,61
2003-04,32,POR,NBA,SF,7,0,35,3,12,0.25,2,5,0.4,1,7,0.143,0.333,0,1,0,3,2,5,1,1,0,2,3,8
Career,NA,,NBA,,659,80,12103,2181,5070,0.43,753,1942,0.388,1428,3128,0.457,0.504,828,999,0.829,505,1144,1649,508,361,161,603,1099,5943
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"WSB,WAS",NBA,,280,21,6525,1110,2592,0.428,410,1069,0.384,700,1523,0.46,0.507,471,553,0.852,240,642,882,261,202,74,301,567,3101
3 seasons,NA,TOR,NBA,,160,41,3384,658,1492,0.441,220,542,0.406,438,950,0.461,0.515,223,272,0.82,150,314,464,164,106,54,177,291,1759
4 seasons,NA,POR,NBA,,150,18,1663,341,780,0.437,89,225,0.396,252,555,0.454,0.494,113,147,0.769,104,132,236,57,37,26,90,180,884
1 season,NA,LAL,NBA,,31,0,193,23,71,0.324,8,38,0.211,15,33,0.455,0.38,7,9,0.778,5,18,23,12,5,3,14,22,61
1 season,NA,HOU,NBA,,25,0,203,32,80,0.4,19,45,0.422,13,35,0.371,0.519,5,8,0.625,2,20,22,5,7,3,15,31,88
1 season,NA,DEN,NBA,,13,0,135,17,55,0.309,7,23,0.304,10,32,0.313,0.373,9,10,0.9,4,18,22,9,4,1,6,8,50
