Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1981-82,22,PHO,NBA,PF,80,0,1186,9.2,17.7,0.521,0,0,0,9.2,17.7,0.522,3,4.8,0.641,3.9,6.5,10.4,3.3,1.7,2.9,4.2,6.9,21.5,NA,101,101
1982-83,23,PHO,NBA,PF,82,82,2914,9.5,17.3,0.55,0,0,0.333,9.5,17.3,0.551,3.1,4.7,0.672,3.9,7.6,11.5,3.2,1.6,3.5,3.1,4.1,22.2,NA,111,98
1983-84,24,PHO,NBA,PF,82,82,2899,9.8,17,0.576,0,0.1,0,9.8,16.9,0.58,4.1,5.7,0.707,3.7,7.4,11.1,3.5,1.4,2.8,2.9,4.5,23.7,NA,118,106
1984-85,25,PHO,NBA,PF,61,55,2202,11,18.6,0.587,0,0,0.5,10.9,18.6,0.587,3.8,5.4,0.709,4.1,7.3,11.4,3.4,1.9,2.2,2.9,3.9,25.8,NA,117,104
1985-86,26,PHO,NBA,PF,73,69,2484,10.7,18.5,0.581,0,0.1,0,10.7,18.3,0.586,5.7,8.2,0.698,3.1,8.3,11.4,4.4,1.3,2.4,3.9,4.6,27.2,NA,115,105
1986-87,27,PHO,NBA,PF,69,67,2569,10.7,19.5,0.551,0,0.1,0.2,10.7,19.4,0.553,7,9,0.773,3.4,7.5,11,4.3,1.6,2.7,2.7,4.1,28.4,NA,122,108
1987-88,28,TOT,NBA,PF,67,60,2383,9.8,18.6,0.529,0,0.1,0.333,9.8,18.5,0.531,6.1,7.9,0.779,3.9,8.4,12.3,4.2,1.3,3.2,3.1,4.9,25.8,NA,116,107
1987-88,28,PHO,NBA,PF,40,34,1477,10.5,19.8,0.531,0.1,0.2,0.4,10.4,19.6,0.532,6,8,0.751,3.8,8.8,12.7,3.9,1.4,3.1,3.4,4.9,27.1,NA,113,108
1987-88,28,CLE,NBA,PF,27,26,906,8.7,16.5,0.526,0,0.1,0,8.7,16.5,0.528,6.4,7.7,0.83,4,7.6,11.6,4.6,1,3.4,2.7,4.9,23.8,NA,121,105
1988-89,29,CLE,NBA,PF,73,72,2526,9.6,17.8,0.539,0,0.1,0,9.6,17.8,0.541,5.2,6.5,0.799,3,8.2,11.3,3.1,1.1,4,2.3,3.6,24.4,NA,119,101
1989-90,30,CLE,NBA,PF,62,53,2065,10.1,19.7,0.511,0,0,1,10.1,19.7,0.51,4.6,5.8,0.778,4,8.7,12.6,3.9,1.3,3,2.7,4.5,24.7,NA,113,105
1990-91,31,CLE,NBA,PF,80,78,2927,10.9,20.9,0.524,0,0.1,0.25,10.9,20.7,0.526,4.6,5.7,0.803,3.5,8.4,11.8,4.1,1.1,3.4,2.3,3.8,26.5,NA,116,106
1991-92,32,CLE,NBA,PF,81,81,2880,9.8,18.1,0.539,0,0.1,0,9.8,18,0.542,4.6,5.6,0.822,3.7,8,11.8,4.1,1.4,4.3,1.5,3.5,24.1,NA,125,105
1992-93,33,CLE,NBA,PF,77,77,2753,9.8,17.9,0.549,0,0.1,0,9.8,17.8,0.551,3.7,4.5,0.818,3.4,8.9,12.3,4.1,1,3.6,2,4.1,23.3,NA,120,103
1993-94,34,CLE,NBA,PF,33,19,909,8.8,18.1,0.487,0,0,NA,8.8,18.1,0.487,3.7,4.9,0.753,4.4,8.6,13.1,2.8,1.6,3.2,2.2,5.5,21.3,NA,111,102
Career,NA,,NBA,,920,795,30697,10.1,18.5,0.546,0,0.1,0.145,10.1,18.4,0.548,4.6,6.2,0.755,3.6,8,11.6,3.8,1.4,3.2,2.7,4.3,24.8,NA,116,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,PHO,NBA,,487,389,15731,10.2,18.3,0.561,0,0.1,0.161,10.2,18.2,0.563,4.7,6.6,0.717,3.7,7.7,11.3,3.7,1.5,2.8,3.2,4.5,25.2,NA,115,104
7 seasons,NA,CLE,NBA,,433,406,14966,9.9,18.7,0.53,0,0.1,0.125,9.9,18.6,0.532,4.6,5.7,0.804,3.6,8.4,12,3.8,1.2,3.7,2.1,4,24.4,NA,118,104
