Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Andrew Nicholson,,1.7,1.6,0.6,0.1,-0.1,NA
Jan Veselý,92.3,1.7,1.6,0.7,NA,NA,NA
Charles Pittman,87.9,1.7,1.5,0.9,0.1,NA,NA
Donnell Harvey,79.4,2,1.8,0.7,0.2,0.1,NA
Dominic McGuire,77.7,1.7,1.5,0.9,0.3,0,-0.2
Sam Pellom,77.7,2.2,1.8,0.7,0,NA,NA
Taurean Waller-Prince,77.2,2,1.5,1.1,NA,NA,NA
Hank Whitney,76.8,1.8,1.1,0.5,NA,NA,NA
Joel Freeland,75.9,1.6,1.4,0.2,NA,NA,NA
Thomas Robinson,75.9,1.6,1.5,0.9,0.6,-0.1,NA
Kenny Battle,75.6,1.9,1.3,0.3,0.1,NA,NA
