Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2004-05,25,CHI,NBA,SF,81,38,1892,6.6,16.5,0.401,0.7,2.7,0.258,5.9,13.8,0.429,4.7,6.1,0.766,1.9,8.7,10.6,3.3,1,0.9,3.7,5.7,18.6,NA,94,100
2005-06,26,CHI,NBA,PF,82,43,2239,8.8,19.2,0.461,2.1,5.5,0.391,6.7,13.7,0.489,4.7,5.6,0.843,2.1,9.5,11.5,2.7,0.9,1.2,2.8,5.8,24.5,NA,110,102
2006-07,27,CHI,NBA,PF,53,31,1406,10,21.3,0.467,2.9,7.6,0.383,7,13.7,0.515,4.5,5.3,0.848,1.5,9.4,11,2.1,1,0.9,3.8,6,27.3,NA,106,99
2007-08,28,CHI,NBA,SF,82,27,2021,9.7,22.4,0.432,3.2,8.8,0.364,6.5,13.6,0.476,5,6.2,0.807,1.2,7.5,8.7,2.4,0.6,1.1,3.4,6.3,27.6,NA,104,109
2008-09,29,TOT,NBA,PF-SF,76,18,1991,7.7,18.1,0.427,3.2,8,0.399,4.5,10.1,0.449,3.7,4.7,0.792,1.4,7.9,9.3,2.6,1,0.9,2.9,6.7,22.4,NA,106,111
2008-09,29,CHI,NBA,PF,53,2,1278,7.5,18.1,0.414,3.2,8.4,0.378,4.3,9.7,0.446,4,5,0.806,1.4,7.6,9,2.4,1,0.6,2.9,7.1,22.2,NA,105,110
2008-09,29,SAC,NBA,SF,23,16,713,8.1,18,0.448,3.2,7.3,0.441,4.9,10.7,0.453,3.2,4.2,0.763,1.4,8.5,9.9,3,0.9,1.2,2.9,6.1,22.6,NA,107,114
2009-10,30,SAC,NBA,SF,75,28,1477,8.1,20.3,0.399,3.3,8.6,0.386,4.8,11.7,0.408,2.5,3.4,0.717,1.1,6.6,7.7,2.6,1.1,0.9,2.3,5.5,22,NA,101,111
2010-11,31,PHI,NBA,SF,54,17,931,6.6,15.6,0.426,2.4,6.6,0.356,4.3,8.9,0.478,2.8,3.4,0.803,1.1,8.4,9.5,2.5,0.8,0.8,2.6,5.6,18.4,NA,101,106
2011-12,32,PHI,NBA,SF,11,1,56,4.8,19.1,0.25,1,5.7,0.167,3.8,13.4,0.286,5.7,10.5,0.545,1,12.4,13.4,1,1,1,4.8,3.8,16.2,NA,64,98
Career,NA,,NBA,,514,203,12013,8.3,19.2,0.431,2.5,6.8,0.373,5.8,12.5,0.463,4.1,5.2,0.799,1.5,8.3,9.9,2.6,0.9,1,3.1,6,23.2,NA,103,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,CHI,NBA,,351,141,8836,8.5,19.5,0.437,2.4,6.4,0.367,6.2,13.1,0.472,4.6,5.7,0.813,1.6,8.6,10.2,2.6,0.9,1,3.3,6.1,24.1,NA,104,104
2 seasons,NA,SAC,NBA,,98,44,2190,8.1,19.5,0.414,3.3,8.2,0.402,4.8,11.4,0.422,2.7,3.7,0.734,1.2,7.2,8.4,2.7,1,1,2.5,5.7,22.2,NA,103,112
2 seasons,NA,PHI,NBA,,65,18,987,6.5,15.8,0.414,2.3,6.6,0.347,4.2,9.2,0.462,2.9,3.8,0.764,1.1,8.7,9.7,2.4,0.8,0.8,2.8,5.5,18.3,NA,98,105
