,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2014-15,20,DEN,NBA,C,62,1103,.446,4.9,.995,.480,.402,.023,.089,.005,.449,.582,.312,.333,.382,.000,.673,.055,17,,.500,.000,0,0
2015-16,21,DEN,NBA,C,32,547,.417,4.5,.988,.483,.397,.041,.066,.012,.423,.496,.344,.300,.438,.000,.743,.045,11,,.000,,0,0
2016-17,22,TOT,NBA,C,65,1391,.507,4.2,.998,.612,.285,.015,.084,.002,.508,.578,.428,.250,.333,.000,.605,.092,46,,.000,,0,0
2016-17,22,DEN,NBA,C,45,807,.507,3.7,1.000,.638,.285,.017,.057,.000,.507,.579,.412,.400,.235,,.629,.111,30,,,,0,0
2016-17,22,POR,NBA,C,20,584,.508,4.9,.996,.581,.284,.013,.119,.004,.511,.577,.448,.000,.393,.000,.575,.068,16,,.000,,0,0
2017-18,23,POR,NBA,C,79,2088,.505,5.9,.993,.466,.304,.091,.131,.007,.508,.643,.391,.402,.376,.000,.694,.068,61,,.000,,1,0
2018-19,24,POR,NBA,C,72,1974,.508,5.7,.965,.552,.262,.056,.096,.035,.523,.603,.417,.391,.430,.103,.657,.097,68,1.000,.069,.000,0,0
Career,,,NBA,,310,7103,.491,5.3,.986,.520,.309,.054,.102,.014,.498,.599,.385,.381,.388,.071,.667,.077,203,1.000,.071,.000,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,POR,NBA,,171,4646,.507,5.7,.982,.515,.284,.068,.115,.018,.515,.617,.407,.390,.397,.081,.665,.080,145,1.000,.054,.000,1,0
3 seasons,,DEN,NBA,,139,2457,.458,4.4,.995,.532,.363,.026,.073,.005,.461,.560,.346,.333,.358,.000,.674,.070,58,,.200,.000,0,0
