Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jusuf Nurkić,,7.8,4.7,2,1.6,0.4,NA
Bill McGill,83.3,7.1,4.6,3.1,2.2,-0.1,NA
Manny Leaks,81.9,7.3,5.2,1.1,0.8,0.2,-0.2
Gheorghe Mureșan,81.2,8,5.3,4.1,1.3,0.3,-0.1
Skip Thoren,78.4,7,4.4,1.6,NA,NA,NA
Fabricio Oberto,77.6,6.1,4.1,1.7,1.1,0.6,0
Bob Houbregs,77.4,6.9,4.5,2.8,0.2,NA,NA
Chick Halbert,75.3,7.4,3.6,3.3,2.9,NA,NA
Joel Embiid,74.6,8.7,6.2,1.9,NA,NA,NA
Don Otten,73.0,8.5,5.8,4.9,1.7,NA,NA
Melvin Turpin,72.2,6,3.1,2.1,1.8,0.8,NA
