Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1951-52,23,INO,NBA,SG,64,1577,12.7,0.426,0.243,NA,NA,NA,NA,NA,1.1,1.5,2.6,0.079
1952-53,24,TOT,NBA,PG,55,758,11.9,0.414,0.322,NA,NA,NA,NA,NA,0,0.5,0.5,0.034
1952-53,24,INO,NBA,,34,526,11.7,0.4,0.342,NA,NA,NA,NA,NA,-0.2,0.5,0.3,0.024
1952-53,24,FTW,NBA,,7,50,11.6,0.439,0.208,NA,NA,NA,NA,NA,0,0,0.1,0.071
1952-53,24,BLB,NBA,PG,14,182,12.6,0.441,0.306,NA,NA,NA,NA,NA,0.2,0,0.2,0.055
Career,NA,,NBA,,119,2335,12.4,0.422,0.268,NA,NA,NA,NA,NA,1.1,2,3.1,0.064
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,INO,NBA,,98,2103,12.4,0.42,0.267,NA,NA,NA,NA,NA,0.9,2,2.8,0.065
1 season,NA,BLB,NBA,,14,182,12.6,0.441,0.306,NA,NA,NA,NA,NA,0.2,0,0.2,0.055
1 season,NA,FTW,NBA,,7,50,11.6,0.439,0.208,NA,NA,NA,NA,NA,0,0,0.1,0.071
