,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2004-05,22,CHA,NBA,PF,73,2600,,,,93%,7%,-6.6,-0.7,36,47,118,19,155,0,144,35,85
2005-06,23,CHA,NBA,PF,26,874,,,,79%,21%,-4.4,0.0,14,15,44,11,56,5,71,9,28
2006-07,24,CHA,NBA,C,67,2329,,,,27%,73%,-2.2,+4.0,30,30,135,20,150,16,187,28,66
2007-08,25,CHA,NBA,C,82,2718,,,,8%,92%,-4.7,+0.7,43,33,138,35,188,11,161,44,102
2008-09,26,CHA,NBA,C,82,2691,,,,3%,97%,+0.6,+6.0,39,30,120,39,185,14,123,47,91
2009-10,27,NOH,NBA,C,82,2370,,,,1%,99%,-3.5,-1.5,29,23,114,26,144,10,127,31,60
2010-11,28,NOH,NBA,C,72,2287,,,,12%,88%,+3.5,+6.4,17,23,107,43,126,9,90,26,68
2011-12,29,NOH,NBA,C,27,781,,,,19%,81%,-8.9,-6.2,11,9,35,13,36,4,54,6,14
2012-13,30,WAS,NBA,C,79,2052,,,,19%,81%,-1.9,+2.2,34,35,66,20,94,13,222,15,44
2017-18,35,NOP,NBA,C,26,353,,,,,100%,+1.0,-0.9,3,4,15,3,13,0,22,4,11
Career,,,NBA,,616,19055,,,,26%,74%,-2.5,+1.9,256,249,892,229,1147,82,1201,245,569
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,CHA,NBA,,330,11212,,,,36%,64%,-3.3,+2.3,162,155,555,124,734,46,686,163,372
4 seasons,,"NOH,NOP",NBA,,207,5791,,,,8%,92%,-1.2,+1.0,60,59,271,85,319,23,293,67,153
1 season,,WAS,NBA,,79,2052,,,,19%,81%,-1.9,+2.2,34,35,66,20,94,13,222,15,44
