Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Mehmet Okur,,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0,NA,NA,NA
Clifford Ray,91.8,8.7,8.2,8.1,7,6.9,6.7,5.7,3.8,1.9,-0.3,NA,NA,NA
Swen Nater,91.1,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,NA,NA
Joakim Noah,87.8,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,NA
Jim Eakins,87.7,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,NA,NA,NA
Greg Monroe,86.4,7.5,7,6.8,6.6,5.9,5.9,5.6,3.4,1.1,NA,NA,NA,NA
Arvydas Sabonis,85.8,9.7,8.4,7.5,7.1,5.8,4.9,3.7,NA,NA,NA,NA,NA,NA
Zydrunas Ilgauskas,85.7,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.9,2.5,2.5,0.7,0.5
Brook Lopez,85.7,9,7.9,7,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3,NA,NA
Tom Owens,85.3,10.4,8.3,8,6.9,6.9,6,4.8,3.2,2.9,2.5,0.9,0.6,NA
Marcin Gortat,84.3,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,NA
