Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,25,LAC,NBA,PF,3,0,22,2,3.7,0.545,0,0.3,0,2,3.3,0.6,0.545,1,3.3,0.3,2,2.7,4.7,1.3,0.3,0.7,1,1.7,5
1998-99,27,ORL,NBA,PF,4,0,20.8,1.5,2.5,0.6,0,0,NA,1.5,2.5,0.6,0.6,1.5,3.3,0.462,0.8,3,3.8,0.5,0.3,2,1.5,2.3,4.5
2000-01,29,ORL,NBA,PF,4,4,33.5,4,6.5,0.615,0,0,NA,4,6.5,0.615,0.615,0.5,2.8,0.182,2.8,7.8,10.5,2.3,1.3,1.5,2.3,3.8,8.5
2002-03,31,PHO,NBA,C,6,0,11.7,0.2,1.7,0.1,0,0,NA,0.2,1.7,0.1,0.1,0.3,0.7,0.5,1,1.2,2.2,0.8,0.2,0.2,1,3.2,0.7
2003-04,32,MEM,NBA,PF,4,0,15.3,0,1.8,0,0,0,NA,0,1.8,0,0,0.5,1,0.5,0.3,0.8,1,1.5,0.5,0.5,0.8,2.3,0.5
2004-05,33,PHO,NBA,PF,1,0,2,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,0,0,1,1,0,0,0,0
Career,NA,,NBA,,22,4,18.9,1.3,3,0.446,0,0,0,1.3,2.9,0.453,0.446,0.7,1.9,0.357,1.2,2.8,4,1.2,0.5,0.9,1.2,2.6,3.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ORL,NBA,,8,4,27.1,2.8,4.5,0.611,0,0,NA,2.8,4.5,0.611,0.611,1,3,0.333,1.8,5.4,7.1,1.4,0.8,1.8,1.9,3,6.5
2 seasons,NA,PHO,NBA,,7,0,10.3,0.1,1.6,0.091,0,0,NA,0.1,1.6,0.091,0.091,0.3,0.6,0.5,0.9,1,1.9,0.9,0.3,0.1,0.9,2.7,0.6
1 season,NA,MEM,NBA,,4,0,15.3,0,1.8,0,0,0,NA,0,1.8,0,0,0.5,1,0.5,0.3,0.8,1,1.5,0.5,0.5,0.8,2.3,0.5
1 season,NA,LAC,NBA,,3,0,22,2,3.7,0.545,0,0.3,0,2,3.3,0.6,0.545,1,3.3,0.3,2,2.7,4.7,1.3,0.3,0.7,1,1.7,5
