,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,29,ORL,NBA,PF,4,134,.615,2.1,1.000,.731,.192,.077,.000,.000,.615,.842,.000,.000,,,.688,.115,3,,,,0,0
2002-03,31,PHO,NBA,C,6,70,.100,2.1,1.000,.700,.300,.000,.000,.000,.100,.143,.000,,,,.000,.000,0,,,,0,0
2003-04,32,MEM,NBA,PF,4,61,.000,3.6,1.000,.429,.571,.000,.000,.000,.000,.000,.000,,,,,.000,0,,,,0,0
2004-05,33,PHO,NBA,PF,1,2,.000,18.0,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,.000,0,,,,0,0
Career,,,NBA,,15,267,.386,2.7,1.000,.659,.273,.045,.023,.000,.386,.586,.000,.000,.000,,.647,.068,3,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,7,72,.091,3.5,1.000,.636,.273,.000,.091,.000,.091,.143,.000,,.000,,.000,.000,0,,,,0,0
1 season,,MEM,NBA,,4,61,.000,3.6,1.000,.429,.571,.000,.000,.000,.000,.000,.000,,,,,.000,0,,,,0,0
1 season,,ORL,NBA,,4,134,.615,2.1,1.000,.731,.192,.077,.000,.000,.615,.842,.000,.000,,,.688,.115,3,,,,0,0
