Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,22,POR,NBA,PG,14,0,52,2.8,12.5,0.222,0,0,NA,2.8,12.5,0.222,2.1,2.8,0.75,1.4,2.8,4.2,4.8,3.5,0.7,2.1,6.9,7.6
1993-94,24,DEN,NBA,PG,12,0,332,5.2,12.8,0.407,0.7,2.2,0.3,4.6,10.6,0.429,4.2,6,0.709,0.5,2.5,3,5.5,2,0.7,5,4.4,15.3
2001-02,32,MIN,NBA,PG,3,0,10,3.6,18,0.2,0,3.6,0,3.6,14.4,0.25,3.6,3.6,1,0,0,0,0,0,0,3.6,18,10.8
2002-03,33,NOH,NBA,PG,4,0,42,5.1,11.1,0.462,0,0,NA,5.1,11.1,0.462,2.6,2.6,1,0,0.9,0.9,3.4,0,0,0.9,7.7,12.9
Career,NA,,NBA,,33,0,436,4.9,12.7,0.383,0.5,1.7,0.286,4.4,11,0.398,3.8,5.2,0.73,0.6,2.3,2.9,5.1,1.9,0.6,4.2,5.4,14
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,POR,NBA,,14,0,52,2.8,12.5,0.222,0,0,NA,2.8,12.5,0.222,2.1,2.8,0.75,1.4,2.8,4.2,4.8,3.5,0.7,2.1,6.9,7.6
1 season,NA,DEN,NBA,,12,0,332,5.2,12.8,0.407,0.7,2.2,0.3,4.6,10.6,0.429,4.2,6,0.709,0.5,2.5,3,5.5,2,0.7,5,4.4,15.3
1 season,NA,NOH,NBA,,4,0,42,5.1,11.1,0.462,0,0,NA,5.1,11.1,0.462,2.6,2.6,1,0,0.9,0.9,3.4,0,0,0.9,7.7,12.9
1 season,NA,MIN,NBA,,3,0,10,3.6,18,0.2,0,3.6,0,3.6,14.4,0.25,3.6,3.6,1,0,0,0,0,0,0,3.6,18,10.8
