,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1998-99,23,LAL,NBA,2:52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
1999-00,24,SEA,NBA,23:18,5,8,0,1,5,8,5,5,3,3,5,1,1,1,2,2,15,13.3
2001-02,26,POR,NBA,26:56,4,10,0,1,4,9,5,6,1,2,3,1,2,1,2,3,13,5.7
2002-03,27,POR,NBA,32:41,8,12,0,2,8,12,7,9,5,4,9,4,1,1,3,3,20,16.8
2005-06,30,TOT,NBA,19:42,4,6,0,0,4,6,2,4,3,1,3,1,1,0,2,2,8,5.8
2005-06,30,DEN,NBA,19:42,4,6,0,0,4,6,2,4,3,1,3,1,1,0,2,2,8,5.8
Career,,,,32:41,8,12,0,2,8,12,7,9,5,4,9,4,2,1,3,3,20,16.8
2 Seasons,,POR,NBA,32:41,8,12,0,2,8,12,7,9,5,4,9,4,2,1,3,3,20,16.8
1 Season,,SEA,NBA,23:18,5,8,0,1,5,8,5,5,3,3,5,1,1,1,2,2,15,13.3
1 Season,,DEN,NBA,19:42,4,6,0,0,4,6,2,4,3,1,3,1,1,0,2,2,8,5.8
1 Season,,LAL,NBA,2:52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
