Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,NOK,NBA,PG,78,78,2808,5.2,12.1,0.43,0.6,2.3,0.282,4.6,9.9,0.464,5.1,6,0.847,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1
2006-07,21,NOK,NBA,PG,64,64,2353,5.8,13.3,0.437,0.8,2.2,0.35,5.1,11.1,0.455,4.5,5.5,0.818,0.8,3.5,4.3,8.7,1.8,0,2.5,2.4,16.9
2007-08,22,NOH,NBA,PG,80,80,3006,7.5,15.5,0.488,1.1,3,0.369,6.4,12.5,0.516,4,4.7,0.851,0.7,3.1,3.8,11.1,2.6,0,2.4,2.2,20.2
2008-09,23,NOH,NBA,PG,78,78,3002,7.6,15,0.503,0.8,2.1,0.364,6.8,12.9,0.525,5.5,6.3,0.868,0.8,4.4,5.2,10.3,2.6,0.1,2.8,2.5,21.4
2009-10,24,NOH,NBA,PG,45,45,1712,6.6,13.4,0.493,1.1,2.7,0.409,5.5,10.7,0.514,3.4,4,0.847,0.4,3.6,4,10.1,2,0.2,2.4,2.5,17.7
2010-11,25,NOH,NBA,PG,80,80,2880,5.4,11.6,0.463,0.9,2.3,0.388,4.5,9.3,0.482,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.3,0.1,2.2,2.4,15.8
2011-12,26,LAC,NBA,PG,60,60,2181,7,14.7,0.478,1.3,3.5,0.371,5.7,11.2,0.511,4.3,5,0.861,0.7,2.8,3.5,9,2.5,0.1,2,2.3,19.6
2012-13,27,LAC,NBA,PG,70,70,2335,6.4,13.2,0.481,1.2,3.6,0.328,5.2,9.6,0.538,4.4,5,0.885,0.8,3.2,4,10.5,2.6,0.2,2.5,2.2,18.3
2013-14,28,LAC,NBA,PG,62,62,2171,6.7,14.4,0.467,1.3,3.5,0.368,5.4,10.9,0.498,4.9,5.7,0.855,0.6,3.8,4.4,11,2.6,0.1,2.4,2.6,19.6
2014-15,29,LAC,NBA,PG,82,82,2857,7.2,14.7,0.485,1.8,4.4,0.398,5.4,10.3,0.523,3.6,4,0.9,0.7,4.1,4.7,10.6,2,0.2,2.4,2.6,19.7
2015-16,30,LAC,NBA,PG,74,74,2420,7.7,16.6,0.462,1.8,4.9,0.371,5.8,11.7,0.501,4.4,4.9,0.896,0.6,4,4.6,11,2.3,0.2,2.9,2.8,21.5
2016-17,31,LAC,NBA,PG,61,61,1921,7,14.7,0.476,2.3,5.7,0.411,4.7,9.1,0.518,4.3,4.9,0.892,0.7,4.9,5.7,10.6,2.2,0.1,2.8,2.7,20.7
2017-18,32,HOU,NBA,PG,58,58,1847,7.2,15.6,0.46,2.8,7.4,0.38,4.3,8.2,0.532,4,4.3,0.919,0.7,5.4,6.1,8.9,1.9,0.3,2.5,2.7,21.1
2018-19,33,HOU,NBA,PG,58,58,1857,5.9,14,0.419,2.5,6.9,0.358,3.4,7.1,0.479,3.4,3.9,0.862,0.7,4.4,5.1,9.2,2.2,0.3,2.9,2.8,17.6
2019-20,34,OKC,NBA,PG,63,63,2003,7.1,14.5,0.489,1.8,5,0.362,5.3,9.5,0.557,4,4.5,0.9,0.4,5.2,5.6,7.7,1.8,0.2,2.5,2.5,20
Career,NA,,NBA,,1013,1013,35353,6.7,14.2,0.47,1.4,3.8,0.37,5.3,10.4,0.507,4.3,5,0.87,0.7,4,4.7,9.8,2.3,0.1,2.5,2.5,19.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,"NOK,NOH",NBA,,425,425,15761,6.4,13.5,0.471,0.9,2.4,0.359,5.5,11.1,0.495,4.5,5.3,0.853,0.7,3.8,4.5,9.7,2.3,0.1,2.4,2.5,18.1
6 seasons,NA,LAC,NBA,,409,409,13885,7,14.7,0.475,1.6,4.2,0.378,5.4,10.5,0.514,4.3,4.9,0.881,0.7,3.8,4.5,10.4,2.3,0.1,2.5,2.5,19.9
2 seasons,NA,HOU,NBA,,116,116,3704,6.5,14.8,0.441,2.6,7.1,0.369,3.9,7.6,0.508,3.7,4.1,0.892,0.7,4.9,5.6,9,2,0.3,2.7,2.8,19.3
1 season,NA,OKC,NBA,,63,63,2003,7.1,14.5,0.489,1.8,5,0.362,5.3,9.5,0.557,4,4.5,0.9,0.4,5.2,5.6,7.7,1.8,0.2,2.5,2.5,20
