Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,NYA,ABA,C,83,NA,33.2,6.1,11.7,0.524,0,0,0,6.1,11.7,0.525,0.524,2.4,3.2,0.747,2.9,8.4,11.3,1.9,NA,NA,2.5,3.3,14.7
1971-72,23,NYA,ABA,C,83,NA,34,6,12.3,0.488,0,0,0,6,12.3,0.489,0.488,2.5,3.6,0.692,3.2,9.3,12.5,1.5,NA,NA,2.6,3.6,14.5
1972-73,24,NYA,ABA,C,81,NA,34.6,6.6,12.7,0.518,0,0,0,6.6,12.7,0.519,0.518,3.5,5,0.709,3.4,9.1,12.5,2.3,NA,2.6,2.6,3.2,16.7
1973-74,25,NYA,ABA,C,77,NA,33.7,6.7,13.6,0.494,0,0,0,6.7,13.6,0.494,0.494,2.9,4,0.721,2.7,7.4,10.2,2.2,0.8,1.9,2.3,3.1,16.4
1974-75,26,NYA,ABA,C,80,NA,35.3,6.6,13.5,0.485,0,0,0,6.6,13.5,0.487,0.485,2.7,3.6,0.748,2.2,7.5,9.7,2.2,0.7,1.7,1.9,3.4,15.8
1975-76,27,SAA,ABA,C,83,NA,35.6,6.8,13.5,0.504,0,0,0,6.8,13.5,0.504,0.504,2.9,3.9,0.735,2.5,7.9,10.4,4.1,0.7,3,2.8,2.8,16.5
1976-77,28,SAS,NBA,C,82,NA,32.9,6.4,13.4,0.473,NA,NA,NA,6.4,13.4,0.473,0.473,2.9,3.9,0.744,2.3,6,8.4,2.7,0.7,2.1,NA,3.2,15.6
1977-78,29,SAS,NBA,C,80,NA,31,6.5,12.2,0.529,NA,NA,NA,6.5,12.2,0.529,0.529,2.9,3.8,0.752,2.2,6.3,8.4,2.7,0.5,2.4,2.1,2.8,15.8
1978-79,30,SAS,NBA,C,79,NA,26.9,5.1,9.6,0.526,NA,NA,NA,5.1,9.6,0.526,0.526,1.4,2.5,0.588,2.1,5.8,7.9,2.3,0.4,1.6,2,2.6,11.5
1979-80,31,TOT,NBA,C,84,NA,26.1,3.9,8,0.486,0,0,0,3.9,8,0.487,0.486,1.3,2.2,0.599,2.2,4.8,7,2.2,0.8,1,1.4,2.5,9.1
1979-80,31,SAS,NBA,C,47,NA,25.8,4,8.1,0.496,0,0,0,4,8.1,0.497,0.496,1.4,2.1,0.66,2,4.8,6.8,2.5,1,1,1.2,2.7,9.4
1979-80,31,HOU,NBA,C,37,NA,26.5,3.7,7.9,0.473,0,0,NA,3.7,7.9,0.473,0.473,1.2,2.2,0.524,2.5,4.7,7.2,1.9,0.6,1.1,1.5,2.3,8.6
1980-81,32,HOU,NBA,PF,81,NA,20.5,3.2,6.4,0.507,0,0,0,3.2,6.3,0.51,0.507,0.9,1.9,0.49,1.4,3.5,4.8,1.3,0.3,0.9,1.1,2.2,7.4
1981-82,33,HOU,NBA,C,65,3,12.4,1.4,3.5,0.394,0,0,NA,1.4,3.5,0.394,0.394,0.5,1,0.523,0.8,1.9,2.8,0.6,0.2,0.3,0.7,1.5,3.3
1982-83,34,TOT,NBA,C,64,0,12.8,1.6,3.5,0.445,0,0,NA,1.6,3.5,0.445,0.445,0.4,0.9,0.458,1,2.1,3.1,1,0.3,0.3,0.7,1.7,3.6
1982-83,34,HOU,NBA,C,57,0,12.2,1.6,3.5,0.445,0,0,NA,1.6,3.5,0.445,0.445,0.5,1,0.456,0.9,2,2.9,1,0.2,0.2,0.7,1.7,3.6
1982-83,34,SAS,NBA,C,7,0,17.9,1.7,3.9,0.444,0,0,NA,1.7,3.9,0.444,0.444,0.1,0.3,0.5,1.4,3.3,4.7,0.6,0.7,0.9,0.9,2,3.6
1983-84,35,ATL,NBA,C,40,4,12.2,0.9,2.2,0.409,0,0,NA,0.9,2.2,0.409,0.409,0.4,0.8,0.515,0.9,2,2.8,0.5,0.2,0.2,0.6,1.4,2.2
1984-85,36,UTA,NBA,C,62,0,6,0.5,1.4,0.368,0,0,NA,0.5,1.4,0.368,0.368,0.3,0.5,0.643,0.4,1.2,1.5,0.3,0.1,0.2,0.5,0.8,1.3
Career,NA,,TOT,,1124,7,27,4.8,9.7,0.497,0,0,0,4.8,9.7,0.498,0.497,2,2.9,0.69,2.1,5.8,8,2,0.5,1.5,1.8,2.6,11.7
,NA,,NBA,,637,7,21.4,3.6,7.3,0.491,0,0,0,3.6,7.3,0.491,0.491,1.4,2.1,0.643,1.6,4,5.6,1.6,0.4,1.1,1.2,2.2,8.5
,NA,,ABA,,487,NA,34.4,6.5,12.9,0.502,0,0,0,6.5,12.9,0.503,0.502,2.8,3.9,0.724,2.8,8.3,11.1,2.4,0.8,2.3,2.4,3.2,15.7
