,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,31,MIN,NBA,SG,4,137,,100%,,,,-7.2,+2.7,4,2,3,0,0,0,14,0,2
2001-02,32,MIN,NBA,SG,3,67,,100%,,,,-9.0,+3.2,4,0,0,2,2,0,5,0,1
2002-03,33,MIN,NBA,SG,6,166,,100%,1%,,,-7.9,-2.5,2,1,7,1,1,0,37,0,0
2003-04,34,SAC,NBA,SG,11,236,30%,70%,,,,+4.5,+7.1,6,6,7,2,2,0,30,0,5
2004-05,35,WAS,NBA,SG,7,43,,11%,82%,7%,,-26.1,-25.9,1,2,1,0,0,0,7,0,1
Career,,,NBA,,31,649,11%,83%,6%,,,-4.6,+1.1,17,11,18,5,5,0,93,0,9
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,13,370,,100%,,,,-7.9,+0.4,10,3,10,3,3,0,56,0,3
1 season,,SAC,NBA,,11,236,30%,70%,,,,+4.5,+7.1,6,6,7,2,2,0,30,0,5
1 season,,WAS,NBA,,7,43,,11%,82%,7%,,-26.1,-25.9,1,2,1,0,0,0,7,0,1
