Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,25,LAL,NBA,SG,10,10,26.8,3.2,7.9,0.405,0.8,3.1,0.258,2.4,4.8,0.5,0.456,1.7,2.2,0.773,0.8,2,2.8,2.5,1,0.2,1.2,2.3,8.9
1995-96,26,LAL,NBA,SG,3,0,24,3,9,0.333,2,4.7,0.429,1,4.3,0.231,0.444,1.3,1.3,1,0.7,2,2.7,1,2,0,1,2,9.3
1997-98,28,MIN,NBA,SG,5,5,42.6,6.2,15.4,0.403,3,6.2,0.484,3.2,9.2,0.348,0.5,0.8,0.8,1,3.2,4.4,7.6,3.6,2,0.6,1.6,3,16.2
1998-99,29,MIN,NBA,SG,4,4,31.3,2.8,8.8,0.314,1.3,3.3,0.385,1.5,5.5,0.273,0.386,0,0,NA,1.8,2.3,4,1.5,1,0,1,3,6.8
1999-00,30,MIN,NBA,SG,4,0,22.5,2.8,6,0.458,0.5,2.5,0.2,2.3,3.5,0.643,0.5,1.5,2,0.75,0.5,1.8,2.3,1.3,0.8,0.3,0.3,2.3,7.5
2000-01,31,MIN,NBA,SG,4,4,34.3,3.5,13.3,0.264,1.5,4.3,0.353,2,9,0.222,0.321,0,0,NA,0.8,2.8,3.5,1.8,1.8,0.3,1.5,2.5,8.5
2001-02,32,MIN,NBA,SG,3,0,22.3,3,6.7,0.45,1.7,3,0.556,1.3,3.7,0.364,0.575,1.3,2,0.667,0.3,4,4.3,0.7,1.3,0,2,1.7,9
2002-03,33,MIN,NBA,SG,6,5,27.7,2.2,6.3,0.342,0.3,2.7,0.125,1.8,3.7,0.5,0.368,0.2,0.3,0.5,0.8,2.7,3.5,3,0.7,0.2,0.7,2.3,4.8
2003-04,34,SAC,NBA,SG,11,0,21.5,1.7,5.7,0.302,0.6,2.4,0.269,1.1,3.4,0.324,0.357,0.5,0.5,0.833,0.6,2.5,3.2,1.4,1.3,0.2,1.3,1.7,4.5
2004-05,35,WAS,NBA,SG,7,0,6.1,0.1,1.3,0.111,0,0.4,0,0.1,0.9,0.167,0.111,0.3,0.3,1,0,1,1,0.4,0.1,0,0.4,0.6,0.6
Career,NA,,NBA,,57,28,24.9,2.6,7.5,0.353,1,3,0.329,1.6,4.5,0.369,0.419,0.8,0.9,0.796,0.9,2.4,3.3,1.8,1.1,0.2,1.1,2.1,7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,MIN,NBA,,26,18,30.7,3.4,9.5,0.36,1.3,3.7,0.365,2.1,5.8,0.358,0.431,0.6,0.8,0.75,1.3,3,4.3,2.2,1.2,0.2,1.1,2.5,8.8
2 seasons,NA,LAL,NBA,,13,10,26.2,3.2,8.2,0.387,1.1,3.5,0.311,2.1,4.7,0.443,0.453,1.6,2,0.808,0.8,2,2.8,2.2,1.2,0.2,1.2,2.2,9
1 season,NA,SAC,NBA,,11,0,21.5,1.7,5.7,0.302,0.6,2.4,0.269,1.1,3.4,0.324,0.357,0.5,0.5,0.833,0.6,2.5,3.2,1.4,1.3,0.2,1.3,1.7,4.5
1 season,NA,WAS,NBA,,7,0,6.1,0.1,1.3,0.111,0,0.4,0,0.1,0.9,0.167,0.111,0.3,0.3,1,0,1,1,0.4,0.1,0,0.4,0.6,0.6
