Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1984-85,23,DAL,NBA,PF,4,4,169,7,14.4,0.49,0.3,1.2,0.25,6.8,13.2,0.511,7.6,10,0.765,4.7,10.3,15,3.2,0.6,0.3,0.9,3.8,22,NA,133,116
1985-86,24,DAL,NBA,PF,10,10,347,8.1,19,0.429,0.3,1.1,0.25,7.9,17.9,0.44,4.7,6.1,0.767,4.3,7.6,11.9,3.4,1.3,2,2.3,4.6,21.3,NA,109,114
1986-87,25,DAL,NBA,PF,4,4,133,9.2,18.4,0.5,0,1.4,0,9.2,17,0.542,5.7,8.1,0.696,4.2,7.8,12,1.8,1.4,0.4,3.2,5.7,24.1,NA,110,117
1987-88,26,DAL,NBA,PF,17,17,572,7.9,17.4,0.451,0.1,0.6,0.143,7.8,16.8,0.463,4.7,5.9,0.803,3.5,6.5,10,2.8,2.2,1.5,2.7,4.5,20.5,NA,110,113
1989-90,28,DAL,NBA,SF,3,3,118,6.7,15.1,0.444,0,0.4,0,6.7,14.7,0.457,5.4,7.1,0.765,4.2,5,9.2,3.3,1.3,0.8,2.9,7.1,18.8,NA,107,114
1990-91,29,LAL,NBA,PF,19,19,752,8.4,15.3,0.548,0.8,2.1,0.367,7.6,13.3,0.576,5.8,7.6,0.761,2.8,8.1,10.9,2.3,1,1.9,2.6,4.8,23.3,NA,121,110
1992-93,31,SEA,NBA,PF,19,17,626,8.4,19.2,0.436,2.6,6.8,0.38,5.8,12.5,0.466,4.1,4.7,0.873,2.8,8.5,11.4,3.2,1.6,2.1,1.8,4.7,23.4,NA,120,108
1993-94,32,SEA,NBA,PF,5,0,141,5.4,16.2,0.333,2.3,5.4,0.429,3.1,10.8,0.286,5.8,6.5,0.882,2.3,11.5,13.9,1.5,1.5,0.8,2.3,5.8,18.9,NA,103,99
1994-95,33,SEA,NBA,C,4,2,141,8.2,18.7,0.438,3.9,8.6,0.455,4.3,10.1,0.423,0.8,0.8,1,2.3,9.7,12.1,5.1,1.2,1.9,3.5,4.7,21.1,NA,108,106
1995-96,34,SEA,NBA,PF,21,1,654,7.5,16.3,0.459,2.7,7.2,0.368,4.8,9.1,0.532,3.8,5.1,0.754,1.7,5.7,7.5,2.9,1.2,0.5,2.5,3.7,21.5,NA,112,106
1996-97,35,SEA,NBA,C,12,6,340,4.8,14.2,0.337,2.2,7,0.311,2.6,7.3,0.362,3.9,4.5,0.862,2.3,5.9,8.2,2.3,1.9,1.9,2,5.3,15.6,NA,104,109
1997-98,36,SEA,NBA,PF,10,1,210,4.3,11.2,0.381,2.7,6.4,0.417,1.6,4.8,0.333,3.2,5.4,0.6,1.6,7,8.6,3.7,0.8,1.3,2.9,5.9,14.4,NA,103,116
1998-99,37,IND,NBA,PF,13,0,146,6.8,13.3,0.514,4.2,9.1,0.458,2.7,4.2,0.636,2.3,3.4,0.667,0.8,8.7,9.5,2.3,0,1.1,2.7,4.9,20.1,NA,118,105
1999-00,38,IND,NBA,PF,23,0,417,4.4,13.6,0.324,3,8.5,0.348,1.4,5,0.282,2.5,2.7,0.905,2.2,7.2,9.4,1.3,0.5,0.8,1,5.8,14.2,NA,105,108
2000-01,39,IND,NBA,PF,3,0,19,5.8,23.2,0.25,2.9,11.6,0.25,2.9,11.6,0.25,0,0,NA,2.9,8.7,11.6,0,0,0,0,8.7,14.5,NA,75,109
Career,NA,,NBA,,167,84,4785,7.2,16.2,0.444,1.7,4.6,0.363,5.5,11.6,0.475,4.4,5.6,0.785,2.8,7.5,10.3,2.7,1.3,1.4,2.3,4.8,20.4,NA,113,110
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,SEA,NBA,,71,27,2112,6.9,16.5,0.419,2.6,6.9,0.376,4.3,9.6,0.449,3.8,4.7,0.804,2.2,7.4,9.6,3,1.4,1.4,2.3,4.7,20.2,NA,112,108
3 seasons,NA,IND,NBA,,39,0,582,5,13.8,0.365,3.3,8.8,0.372,1.8,5,0.352,2.3,2.8,0.833,1.9,7.7,9.5,1.5,0.4,0.8,1.4,5.7,15.7,NA,107,107
5 seasons,NA,DAL,NBA,,38,38,1339,7.9,17.3,0.454,0.1,0.9,0.167,7.7,16.4,0.469,5.3,6.8,0.77,4,7.3,11.3,2.9,1.6,1.3,2.4,4.8,21.1,NA,112,114
1 season,NA,LAL,NBA,,19,19,752,8.4,15.3,0.548,0.8,2.1,0.367,7.6,13.3,0.576,5.8,7.6,0.761,2.8,8.1,10.9,2.3,1,1.9,2.6,4.8,23.3,NA,121,110
