Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1978-79,22,WSB,NBA,SG,29,NA,153,8.2,23,0.359,NA,NA,NA,8.2,23,0.359,7.1,8.5,0.828,1.5,5,6.5,4.4,1.5,0.6,5,6.2,23.6,NA,89,104
1979-80,23,TOT,NBA,SG,78,NA,1512,10.7,22.4,0.477,0.1,0.3,0.444,10.6,22.1,0.478,5.4,6.2,0.872,2.3,3.4,5.7,3.1,1,0.2,3.6,4.8,26.9,NA,104,108
1979-80,23,WSB,NBA,SG,50,NA,971,10.8,22.8,0.474,0.1,0.2,0.4,10.7,22.5,0.474,5,5.8,0.867,2.4,3.2,5.5,3.4,0.9,0.1,3.4,5.1,26.7,NA,105,109
1979-80,23,NJN,NBA,SG,28,NA,541,10.5,21.8,0.485,0.2,0.3,0.5,10.4,21.4,0.484,6.1,6.9,0.88,2.2,3.7,5.9,2.7,1.3,0.3,4.1,4.4,27.4,NA,104,106
1980-81,24,CLE,NBA,SG,82,NA,2269,9.9,20.2,0.491,0.2,0.6,0.286,9.8,19.7,0.497,4.7,5.6,0.839,1.9,3.3,5.2,3.9,1.4,0.3,3.5,5.5,24.8,NA,107,111
1981-82,25,TOT,NBA,SG,81,9,1183,9.4,20.4,0.46,0.2,1.2,0.161,9.2,19.1,0.479,3.4,4.4,0.78,2.5,3.7,6.2,4.6,1.4,0.3,2.7,6.1,22.3,NA,105,112
1981-82,25,CLE,NBA,SG,27,8,566,8.9,18.3,0.486,0.3,1.1,0.308,8.5,17.2,0.498,3.1,3.8,0.8,2.4,3.7,6.1,4.5,1.4,0.2,2.8,5.2,21.2,NA,107,114
1981-82,25,SAS,NBA,SG,54,1,617,9.8,22.2,0.44,0.1,1.4,0.056,9.7,20.9,0.465,3.7,4.9,0.766,2.5,3.8,6.3,4.6,1.5,0.5,2.5,6.9,23.4,NA,104,110
1982-83,26,SAS,NBA,SG,62,4,599,9.3,20.7,0.449,0.2,1.1,0.214,9.1,19.6,0.462,3.3,4.3,0.768,3,3.5,6.5,4.7,2.3,0.6,3.8,7.1,22.2,NA,100,107
1983-84,27,TOT,NBA,SG,13,0,87,6.1,19.3,0.314,1.1,2.8,0.4,5,16.6,0.3,2.2,2.2,1,1.1,5,6.1,6.1,0.6,0,3.3,6.1,15.5,NA,84,113
1983-84,27,SAS,NBA,SG,3,0,11,8.2,16.4,0.5,4.1,4.1,1,4.1,12.3,0.333,8.2,8.2,1,0,8.2,8.2,8.2,0,0,4.1,4.1,28.7,NA,132,114
1983-84,27,DAL,NBA,SG,10,0,76,5.7,19.8,0.29,0.6,2.6,0.25,5.1,17.2,0.296,1.3,1.3,1,1.3,4.5,5.7,5.7,0.6,0,3.2,6.4,13.4,NA,77,113
Career,NA,,NBA,,345,13,5803,9.9,21,0.47,0.2,0.7,0.253,9.7,20.2,0.478,4.5,5.4,0.834,2.2,3.5,5.7,3.9,1.4,0.3,3.4,5.6,24.4,NA,104,110
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SAS,NBA,,119,5,1227,9.5,21.4,0.445,0.2,1.3,0.152,9.3,20.2,0.463,3.6,4.6,0.77,2.7,3.7,6.4,4.7,1.9,0.5,3.2,7,22.8,NA,102,108
2 seasons,NA,CLE,NBA,,109,8,2835,9.7,19.9,0.49,0.2,0.7,0.293,9.5,19.2,0.497,4.4,5.3,0.833,2,3.4,5.3,4,1.4,0.3,3.3,5.4,24,NA,107,112
2 seasons,NA,WSB,NBA,,79,NA,1124,10.4,22.8,0.457,0.1,0.2,0.4,10.4,22.6,0.458,5.3,6.2,0.859,2.2,3.4,5.7,3.5,1,0.2,3.6,5.3,26.3,NA,102,109
1 season,NA,NJN,NBA,,28,NA,541,10.5,21.8,0.485,0.2,0.3,0.5,10.4,21.4,0.484,6.1,6.9,0.88,2.2,3.7,5.9,2.7,1.3,0.3,4.1,4.4,27.4,NA,104,106
1 season,NA,DAL,NBA,,10,0,76,5.7,19.8,0.29,0.6,2.6,0.25,5.1,17.2,0.296,1.3,1.3,1,1.3,4.5,5.7,5.7,0.6,0,3.2,6.4,13.4,NA,77,113
