Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,25,CHS,BAA,,5,NA,NA,13,46,0.283,10,14,0.714,NA,4,11,36
1948-49,26,CHS,BAA,,2,NA,NA,14,36,0.389,11,11,1,NA,12,9,39
1949-50,27,CHS,NBA,,2,NA,NA,7,27,0.259,10,13,0.769,NA,12,8,24
1950-51,28,PHW,NBA,,2,NA,NA,6,15,0.4,3,6,0.5,15,14,9,15
1951-52,29,PHW,NBA,SG,3,NA,122,8,19,0.421,19,24,0.792,14,22,16,35
1952-53,30,FTW,NBA,SG,8,NA,329,24,71,0.338,34,51,0.667,32,30,23,82
1953-54,31,FTW,NBA,PG,4,NA,136,13,38,0.342,9,12,0.75,12,17,9,35
1954-55,32,FTW,NBA,PG,11,NA,445,30,93,0.323,34,40,0.85,60,78,37,94
1955-56,33,FTW,NBA,PG,10,NA,173,9,27,0.333,11,25,0.44,26,35,16,29
1956-57,34,BOS,NBA,PG,10,NA,128,8,22,0.364,6,15,0.4,20,17,18,22
1957-58,35,BOS,NBA,PG,10,NA,91,5,21,0.238,7,9,0.778,14,7,20,17
Career,NA,,TOT,,67,NA,1424,137,415,0.33,154,220,0.7,193,248,176,428
,NA,,NBA,,60,NA,1424,110,333,0.33,133,195,0.682,193,232,156,353
,NA,,BAA,,7,NA,NA,27,82,0.329,21,25,0.84,NA,16,20,75
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,FTW,NBA,,33,NA,1083,76,229,0.332,88,128,0.688,130,160,85,240
2 seasons,NA,BOS,NBA,,20,NA,219,13,43,0.302,13,24,0.542,34,24,38,39
3 seasons,NA,CHS,BAA,,9,NA,NA,34,109,0.312,31,38,0.816,NA,28,28,99
2 seasons,NA,PHW,NBA,,5,NA,122,14,34,0.412,22,30,0.733,29,36,25,50
