Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,25,CHS,BAA,,32,NA,NA,143,425,0.336,60,103,0.583,NA,74,75,346
1948-49,26,CHS,BAA,,60,NA,NA,285,818,0.348,148,219,0.676,NA,319,205,718
1949-50,27,CHS,NBA,,65,NA,NA,284,814,0.349,190,270,0.704,NA,377,210,758
1950-51,28,PHW,NBA,,66,NA,NA,275,690,0.399,190,253,0.751,446,414,221,740
1951-52,29,PHW,NBA,SG,66,NA,2933,279,762,0.366,232,308,0.753,434,539,218,790
1952-53,30,TOT,NBA,SG-PG,70,NA,2690,250,629,0.397,222,301,0.738,364,397,229,722
1952-53,30,PHW,NBA,PG,13,NA,543,48,124,0.387,58,76,0.763,NA,111,48,154
1952-53,30,FTW,NBA,SG,57,NA,2147,202,505,0.4,164,225,0.729,NA,286,181,568
1953-54,31,FTW,NBA,PG,71,NA,2705,255,680,0.375,241,330,0.73,265,449,204,751
1954-55,32,FTW,NBA,PG,64,NA,2332,202,545,0.371,213,308,0.692,290,491,166,617
1955-56,33,FTW,NBA,PG,70,NA,2078,148,405,0.365,112,199,0.563,257,410,155,408
1956-57,34,BOS,NBA,PG,67,NA,1476,105,277,0.379,88,137,0.642,181,168,121,298
1957-58,35,BOS,NBA,PG,70,NA,1164,97,273,0.355,42,71,0.592,158,121,121,236
Career,NA,,TOT,,701,NA,15378,2323,6318,0.368,1738,2499,0.695,2395,3759,1925,6384
,NA,,NBA,,609,NA,15378,1895,5075,0.373,1530,2177,0.703,2395,3366,1645,5320
,NA,,BAA,,92,NA,NA,428,1243,0.344,208,322,0.646,NA,393,280,1064
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,FTW,NBA,,262,NA,9262,807,2135,0.378,730,1062,0.687,812,1636,706,2344
3 seasons,NA,CHS,BAA,,157,NA,NA,712,2057,0.346,398,592,0.672,NA,770,490,1822
3 seasons,NA,PHW,NBA,,145,NA,3476,602,1576,0.382,480,637,0.754,880,1064,487,1684
2 seasons,NA,BOS,NBA,,137,NA,2640,202,550,0.367,130,208,0.625,339,289,242,534
