,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1991-92,22,CLE,NBA,,5,9,0,1,5,8,3,4,2,2,4,1,2,1,2,1,11,8.3
1992-93,23,CLE,NBA,,4,9,1,2,3,7,3,4,1,2,2,1,2,1,2,3,9,7.4
1993-94,24,CLE,NBA,,12,23,1,2,12,22,7,9,7,7,11,6,4,2,4,6,26,25.6
1994-95,25,CLE,NBA,,9,20,2,5,9,17,10,11,4,8,11,10,5,3,4,5,24,22.4
1995-96,26,CLE,NBA,,13,24,7,11,11,18,10,11,4,6,8,11,5,3,5,6,43,35.5
1996-97,27,CLE,NBA,52:43,11,21,3,7,10,20,6,9,4,7,8,12,7,3,7,6,27,23.5
1997-98,28,CHH,NBA,43:44,9,15,3,5,8,14,6,7,4,10,12,9,5,3,5,6,22,19.4
1998-99,29,CHH,NBA,45:59,9,20,5,10,8,17,8,9,4,7,9,8,5,3,6,6,24,22.9
1999-00,30,CHH,NBA,41:49,11,23,4,8,7,15,6,6,2,5,7,6,5,2,4,6,27,17.7
Career,,,,52:43,13,24,7,11,12,22,10,11,7,10,12,12,7,3,7,6,43,35.5
6 Seasons,,CLE,NBA,52:43,13,24,7,11,12,22,10,11,7,8,11,12,7,3,7,6,43,35.5
3 Seasons,,CHH,NBA,45:59,11,23,5,10,8,17,8,9,4,10,12,9,5,3,6,6,27,22.9
