,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2001-02,24,BOS,NBA,48:00,16,25,8,10,9,17,12,20,4,15,17,7,5,4,7,5,46,41.6
2002-03,25,BOS,NBA,54:34,11,24,3,7,9,20,21,21,2,12,12,11,4,2,8,5,40,35.4
2003-04,26,BOS,NBA,46:54,10,23,3,8,7,16,13,16,3,10,11,4,3,2,8,4,27,15.9
2004-05,27,BOS,NBA,44:24,10,16,2,7,9,13,13,16,2,10,11,8,5,5,6,4,33,33.1
2007-08,30,BOS,NBA,47:58,13,23,4,9,10,17,16,19,3,8,8,10,2,1,6,6,41,31.2
2008-09,31,BOS,NBA,52:08,11,24,4,8,10,18,14,14,1,9,9,8,3,2,6,6,29,24.2
2009-10,32,BOS,NBA,46:39,12,25,4,10,11,19,12,13,2,11,13,7,3,2,5,6,32,29.9
2010-11,33,BOS,NBA,45:01,14,20,6,8,9,15,6,7,2,8,8,5,3,2,4,5,38,30.7
2011-12,34,BOS,NBA,47:06,12,26,4,6,11,21,14,14,5,13,14,7,4,3,8,6,36,23.5
2012-13,35,BOS,NBA,49:51,9,20,4,9,7,14,8,8,2,8,8,7,2,1,6,5,29,17.5
2013-14,36,BRK,NBA,35:32,9,18,3,7,6,13,7,7,2,7,7,4,3,1,5,5,22,16.1
2014-15,37,WAS,NBA,36:32,8,15,5,9,4,6,4,6,0,7,7,2,2,3,3,5,22,19.2
2015-16,38,LAC,NBA,17:10,1,3,1,2,1,2,1,2,0,2,2,1,1,0,1,3,3,1.7
2016-17,39,LAC,NBA,21:43,3,4,2,3,3,4,1,1,1,3,3,2,1,0,2,3,6,5.8
Career,,,,54:34,16,26,8,10,11,21,21,21,5,15,17,11,5,5,8,6,46,41.6
10 Seasons,,BOS,NBA,54:34,16,26,8,10,11,21,21,21,5,15,17,11,5,5,8,6,46,41.6
2 Seasons,,LAC,NBA,21:43,3,4,2,3,3,4,1,2,1,3,3,2,1,0,2,3,6,5.8
1 Season,,BRK,NBA,35:32,9,18,3,7,6,13,7,7,2,7,7,4,3,1,5,5,22,16.1
1 Season,,WAS,NBA,36:32,8,15,5,9,4,6,4,6,0,7,7,2,2,3,3,5,22,19.2
