Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1984-85,25,MIL,NBA,SG,8,198,7.5,0.513,0.027,0.123,5,5.8,5.4,11.4,0.7,0.3,18.1,19.6,NA,-0.1,0.1,-0.1,-0.013,NA,-2.6,-2.1,-4.7,-0.1
1985-86,26,MIL,NBA,SG,13,322,12.2,0.542,0.018,0.398,7.2,5.9,6.6,8.7,1.2,0.6,10.1,19,NA,0.4,0.1,0.5,0.082,NA,0.4,-1.2,-0.9,0.1
1986-87,27,MIL,NBA,SG,12,317,15,0.557,0,0.472,4.2,6.3,5.2,7.5,1.5,1,10,24.8,NA,0.4,0.1,0.5,0.073,NA,0.8,-1,-0.2,0.1
1987-88,28,MIL,NBA,SG,5,105,16.2,0.518,0.094,0.17,6.3,9.1,7.6,14.5,0.5,1.2,6.6,24.4,NA,0.2,0,0.2,0.09,NA,1.9,-1.3,0.6,0.1
1988-89,29,MIL,NBA,SG,9,292,24.7,0.622,0.057,0.333,2.1,8.5,5.3,18.1,2.1,0.5,5.3,28.3,NA,1.1,0.1,1.2,0.193,NA,6.3,1.4,7.7,0.7
1989-90,30,MIL,NBA,SG,4,122,22.8,0.604,0.167,0.517,6.1,3.2,4.7,9.8,2.1,0,3.9,28.5,NA,0.5,0,0.5,0.185,NA,5.7,-1.4,4.4,0.2
1990-91,31,SEA,NBA,SG,5,112,8,0.442,0.175,0.298,6.4,8.7,7.5,5.8,1.8,0.6,14.6,28.8,NA,-0.2,0.1,-0.1,-0.054,NA,-2.7,-3.2,-5.9,-0.1
1991-92,32,SEA,NBA,SG,9,316,15.1,0.569,0.084,0.412,3.5,5.2,4.3,14.2,0.8,0.2,13.4,24.6,NA,0.5,0,0.5,0.073,NA,1.7,-2,-0.3,0.1
1992-93,33,SEA,NBA,SG,19,578,17.3,0.546,0.111,0.326,3.2,6.2,4.7,12.4,1.1,0.5,8.3,25.7,NA,1.4,0.1,1.5,0.127,NA,2.7,-1.3,1.4,0.5
1993-94,34,SEA,NBA,SG,5,74,10.7,0.52,0,0.548,6,1.6,3.8,8.6,0.7,0,19,29.8,NA,-0.1,0,0,-0.016,NA,-1.8,-4,-5.8,-0.1
1995-96,36,IND,NBA,SG,5,133,11.1,0.457,0.17,0.426,3,0.9,1.8,20.8,3.5,0.7,17.7,24.3,NA,0,0.1,0.1,0.034,NA,-1.1,0.8,-0.3,0.1
1996-97,37,CHH,NBA,SG,3,87,7.6,0.479,0.292,0,1.4,11.9,6.1,7.3,1.3,0,11.1,14.5,NA,0,-0.1,-0.1,-0.04,NA,-2.5,-2.4,-4.9,-0.1
Career,NA,,NBA,,97,2656,15.2,0.548,0.081,0.354,4.3,6.1,5.2,12,1.4,0.5,10.4,24.4,NA,4,0.7,4.7,0.085,NA,1.5,-1.2,0.3,1.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,MIL,NBA,,51,1356,16.1,0.566,0.046,0.357,4.9,6.5,5.7,11.4,1.4,0.6,9,23.7,NA,2.4,0.4,2.8,0.1,NA,1.9,-0.7,1.2,1.1
4 seasons,NA,SEA,NBA,,38,1080,15.2,0.538,0.104,0.36,3.8,5.9,4.8,12,1.1,0.4,11.3,26,NA,1.7,0.2,1.9,0.082,NA,1.6,-1.9,-0.3,0.5
1 season,NA,IND,NBA,,5,133,11.1,0.457,0.17,0.426,3,0.9,1.8,20.8,3.5,0.7,17.7,24.3,NA,0,0.1,0.1,0.034,NA,-1.1,0.8,-0.3,0.1
1 season,NA,CHH,NBA,,3,87,7.6,0.479,0.292,0,1.4,11.9,6.1,7.3,1.3,0,11.1,14.5,NA,0,-0.1,-0.1,-0.04,NA,-2.5,-2.4,-4.9,-0.1
