Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1997-98,25,IND,NBA,SF,28,193,3.4,0.402,0.073,0.415,5.9,10.1,8.1,5.5,0.8,2.2,17.1,14.4,NA,-0.2,0.2,0,-0.003,NA,-7.2,-0.5,-7.7,-0.3
1998-99,26,IND,NBA,SF,4,26,-8.5,0.134,0.571,0.143,9.3,9,9.1,0,0,0,11.8,15.5,NA,-0.1,0,-0.1,-0.23,NA,-13.4,-5.7,-19.2,-0.1
2000-01,28,MIL,NBA,PF,63,942,7.2,0.48,0.169,0.246,6.8,10.9,8.8,5.6,0.9,2,9.7,8.4,NA,0.8,0.5,1.3,0.068,NA,-3,0.1,-2.9,-0.2
2001-02,29,MIL,NBA,PF,45,426,7.3,0.434,0.275,0.231,5.7,13.7,9.9,5.9,1.4,1.9,13,12.7,NA,-0.1,0.3,0.1,0.016,NA,-3.8,-0.4,-4.2,-0.2
2003-04,31,DEN,NBA,PF,4,20,-9,0.41,0,0.5,0,17.2,8.5,0,2.6,0,55.1,11.9,NA,-0.1,0,-0.1,-0.172,NA,-16.9,1.5,-15.4,-0.1
2004-05,32,DEN,NBA,PF,9,27,10,0.333,0,0,21.5,12.7,17.1,5.3,1.9,5.6,14.3,11.6,NA,0,0,0,0.07,NA,-4.6,-0.2,-4.9,0
Career,NA,,NBA,,153,1634,6.4,0.443,0.194,0.26,6.6,11.6,9.2,5.5,1,2,12.7,10.4,NA,0.2,1.1,1.3,0.038,NA,-4.1,-0.2,-4.3,-0.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,MIL,NBA,,108,1368,7.2,0.462,0.21,0.24,6.4,11.8,9.2,5.7,1,2,11,9.7,NA,0.7,0.8,1.5,0.052,NA,-3.3,0,-3.3,-0.5
2 seasons,NA,IND,NBA,,32,219,2,0.367,0.146,0.375,6.3,10,8.2,4.8,0.7,1.9,16.4,14.6,NA,-0.4,0.2,-0.1,-0.03,NA,-7.9,-1.1,-9,-0.4
2 seasons,NA,DEN,NBA,,13,47,1.9,0.355,0,0.125,12.3,14.6,13.4,3.1,2.2,3.2,32.2,11.7,NA,-0.1,0.1,0,-0.033,NA,-9.8,0.5,-9.4,-0.1
