,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
2007-08,24,BOS,NBA,28:22,6,8,0,0,6,8,9,13,5,4,7,1,0,2,2,5,21,16.3
2008-09,25,BOS,NBA,16:34,2,5,0,0,2,5,4,6,1,7,8,0,0,0,1,2,8,5.5
2009-10,26,CLE,NBA,5:03,1,3,0,0,1,3,2,2,1,1,2,0,0,0,1,2,4,2.9
2010-11,27,TOT,NBA,5:50,1,5,0,0,1,5,3,4,1,1,2,0,0,0,0,0,3,3.6
2010-11,27,MEM,NBA,5:50,1,5,0,0,1,5,3,4,1,1,2,0,0,0,0,0,3,3.6
Career,,,,28:22,6,8,0,0,6,8,9,13,5,7,8,1,0,2,2,5,21,16.3
2 Seasons,,BOS,NBA,28:22,6,8,0,0,6,8,9,13,5,7,8,1,0,2,2,5,21,16.3
1 Season,,MEM,NBA,5:50,1,5,0,0,1,5,3,4,1,1,2,0,0,0,0,0,3,3.6
1 Season,,CLE,NBA,5:03,1,3,0,0,1,3,2,2,1,1,2,0,0,0,1,2,4,2.9
