Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,24,MIL,NBA,SG,79,18,1528,5,11,0.457,0,0.2,0.111,5,10.8,0.464,2.5,4.1,0.597,2,4.7,6.6,4.9,2.3,1.1,3.8,4.1,12.5
1983-84,25,MIL,NBA,SG,81,18,1730,5.7,11,0.523,0,0.2,0.222,5.7,10.8,0.528,2.5,4.2,0.6,2.1,3.7,5.9,5.2,1.8,1,3.3,5,14
1984-85,26,MIL,NBA,SF,80,80,2876,6,11.6,0.517,0.1,0.3,0.35,5.9,11.4,0.521,4,5.2,0.758,1.9,3.5,5.4,6.8,1.6,0.7,3.1,3.2,16.1
1985-86,27,MIL,NBA,SF,80,80,2704,5.5,11.2,0.488,0.1,0.6,0.182,5.4,10.6,0.504,4.2,5.2,0.806,1.7,3.6,5.3,8.3,2.2,0.9,3.2,3.3,15.3
1986-87,28,MIL,NBA,SF,61,60,2057,5.1,10.8,0.477,0.3,1,0.291,4.9,9.8,0.496,4.2,5.7,0.738,1.7,3.5,5.2,7.7,1.9,0.8,3.3,3.7,14.8
1987-88,29,MIL,NBA,SG,75,75,2484,5,10.2,0.491,0.1,0.6,0.205,4.9,9.6,0.508,4.1,5.2,0.798,1.9,3.6,5.4,7.6,1.6,0.5,2.9,3.4,14.2
1988-89,30,MIL,NBA,SG,67,62,2170,5.1,10.8,0.474,0.2,0.9,0.218,4.9,9.8,0.497,3.1,4,0.776,1.2,3.1,4.3,7.3,2,0.7,3.1,3.7,13.5
1989-90,31,MIL,NBA,SG,57,2,1400,6.1,13,0.472,0.2,1.1,0.14,6,11.9,0.503,3.7,4.9,0.758,1.5,2.9,4.4,6.3,1.8,0.6,2.8,3.8,16.1
1990-91,32,SAS,NBA,SG,70,18,1683,4.3,9.1,0.472,0.3,1.2,0.281,4,7.9,0.501,2.4,2.8,0.827,1.1,2.7,3.8,5.8,1.3,0.7,2.8,3.7,11.3
1991-92,33,SAS,NBA,SG,56,7,759,2.8,7.6,0.373,0.1,1,0.143,2.7,6.6,0.407,1.3,1.9,0.683,1,3.5,4.5,6.7,1.4,0.9,3,4.1,7.2
1992-93,34,GSW,NBA,SG,18,0,268,3.9,8.9,0.439,0,0.5,0,3.9,8.3,0.468,2.8,3.6,0.778,1.1,3.1,4.2,4,1.5,0.7,3.1,4.8,10.6
Career,NA,,NBA,,724,420,19659,5.2,10.8,0.485,0.1,0.7,0.222,5.1,10.1,0.502,3.4,4.6,0.749,1.6,3.5,5.1,6.8,1.8,0.8,3.1,3.7,14
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 seasons,NA,MIL,NBA,,580,395,16949,5.4,11.1,0.49,0.1,0.6,0.219,5.3,10.5,0.505,3.6,4.9,0.745,1.7,3.6,5.3,6.9,1.9,0.8,3.1,3.7,14.7
2 seasons,NA,SAS,NBA,,126,25,2442,3.8,8.7,0.445,0.3,1.1,0.244,3.6,7.5,0.475,2,2.6,0.793,1.1,2.9,4,6.1,1.4,0.8,2.9,3.8,10
1 season,NA,GSW,NBA,,18,0,268,3.9,8.9,0.439,0,0.5,0,3.9,8.3,0.468,2.8,3.6,0.778,1.1,3.1,4.2,4,1.5,0.7,3.1,4.8,10.6
