,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1972-73,23,LAL,NBA,,8,,4,5,,,,,,,,,18,
1973-74,24,LAL,NBA,,13,26,11,14,,,10,12,,,,6,31,
1974-75,25,TOT,NBA,,16,,11,13,,,,,,,,,43,
1974-75,25,LAL,NBA,,11,,11,13,,,,,,,,,27,
1974-75,25,MIL,NBA,,16,,11,13,,,,,,,,,43,
1975-76,26,MIL,NBA,,11,,11,11,,,,,,,,,26,
1976-77,27,TOT,NBA,,9,,5,7,,,,,,,,,20,
1976-77,27,MIL,NBA,,9,11,2,3,,,5,5,,,,5,20,
1976-77,27,BUF,NBA,,8,,5,7,,,,,,,,,17,
1976-77,27,DEN,NBA,,9,,5,7,,,10,11,,,,,20,
1977-78,28,TOT,NBA,,11,,9,11,,,,,,,,,26,
1977-78,28,DEN,NBA,,11,15,9,11,,,9,9,,,5,5,22,
1977-78,28,DET,NBA,,11,,6,8,,,,,,,,,26,
1978-79,29,LAL,NBA,,9,,9,11,,,,,,,,,19,
Career,,,,,16,,11,14,,,,,,,,,43,
4 Seasons,,LAL,NBA,,13,,11,14,,,,,,,,,31,
3 Seasons,,MIL,NBA,,16,,11,13,,,,,,,,,43,
2 Seasons,,DEN,NBA,,11,,9,11,,,10,11,,,,,22,
1 Season,,DET,NBA,,11,,6,8,,,,,,,,,26,
1 Season,,BUF,NBA,,8,,5,7,,,,,,,,,17,
